domain,project,1,2,3,4,total
modeling,graphiti,25,143,134,296,598
iot,californium,0,25,22,2,66
tools,tmw,0,0,0,0,0
technology,m2e,7,1004,321,161,1604
foundation,simultaneousrelease,0,0,0,0,0
rt,vertx,6,254,74,16,394
modeling,mdt.modisco,108,80,297,464,984
technology,actf,0,848,93,58,1013
modeling,acceleo,11,696,96,46,898
mylyn,mylyndocsintent,0,0,0,0,0
mylyn,mylynincubator,0,0,0,0,0
foundation,community,0,0,0,0,0
iot,vorto,0,78,57,21,157
mylyn,mylyncommons,0,0,0,0,0
modeling,sphinx,25,126,146,131,463
technology,rtsc,94,461,424,206,1229
ecd,orion,39,2096,5108,2244,9557
tools,pdt,117,2542,1365,1045,5440
webtools,wtpincubator,0,0,0,0,0
technology,nebula,72,483,209,85,1118
foundation,drupal,0,0,0,0,0
technology,ease,12,226,43,100,454
technology,tigerstripe,12,828,224,59,1147
modeling,emfstore,11,251,158,80,528
rt,riena,29,418,352,106,998
technology,flux,4,7,24,2,61
science,texlipse,0,0,0,0,0
rt,yasson,0,0,0,0,0
modeling,pmf,2,7,0,3,31
webtools,dalijpatools,0,0,0,0,0
iot,risev2g,0,0,0,0,1
technology,technologytoplevel,0,0,0,0,0
tools,andmore,14,34,21,11,114
modeling,franca,0,0,0,0,0
soa,jwt,33,153,110,92,408
tools,mat,11,203,173,32,461
modeling,papyrus,514,3551,2502,2023,9634
modeling,mdt.xsd,8,285,49,53,404
rt,eclipselink,722,1797,3030,1366,7952
technology,xwt,2,57,36,243,352
modeling,viatra,54,331,449,165,1037
tools,tracecompass.incubator,0,0,0,0,0
modeling,emft.henshin,0,42,17,3,90
modeling,eatop,2,9,10,0,34
webtools,wtpwebservices,0,0,0,0,0
rt,smila,1,78,85,48,216
modeling,emft.doc2model,0,1,0,0,1
modeling,efm,0,7,3,0,23
webtools,javaeeconfig,0,0,0,0,0
webtools,wtpservertools,0,0,0,0,0
technology,subversive,9,2048,255,158,2591
rt,gemini,1,0,0,0,5
webtools,wtpsourceediting,0,0,0,0,0
technology,rcptt,13,70,46,13,254
modeling,mdt,1,39,31,31,114
soa,soaplatform,0,0,0,0,0
rt,ebr,1,1,2,0,6
technology,vtp,6,114,86,12,259
rt,gyrex,16,20,73,37,157
modeling,amp,19,84,31,8,171
modeling,papyrusrt,0,0,0,0,0
webtools,wtpcommontools,0,0,0,0,0
modeling,eef,1,31,15,262,330
modeling,capra,4,12,6,4,46
tools,titan,2,96,67,4,183
technology,sapphire,25,149,645,328,1189
tools,gef,96,1172,990,462,2950
tools,oomph,87,190,668,475,1438
rt,ecf,33,980,600,234,1944
technology,scanning,0,0,0,0,0
technology,nebula.incubator,0,0,1,0,1
foundation,z_archived,0,0,0,0,0
rt,gemini.dbaccess,0,11,4,0,19
science,dawnsci,0,0,0,0,1
ecd,che,1,12,1,0,22
iot,kapua,0,0,1,0,1
iot,unide,0,0,0,0,0
soa,ebpm,0,0,0,0,2
tools,linuxtools,0,0,0,0,0
eclipse,jdt,1491,14460,18878,18100,54535
technology,handly,0,1,119,20,142
technology,recommenders.incubator,7,108,68,13,225
mylyn,mylyn,112,2676,2861,2720,8422
mylyn,mylyndocs,0,0,0,0,0
iot,wakaama,0,3,0,0,10
modeling,elk,0,2,0,0,3
soa,bpel,9,198,81,54,376
technology,egerrit,22,113,178,17,394
iot,iofog,0,0,0,0,0
modeling,gmftooling,0,0,0,0,0
technology,jnosql,0,0,0,0,0
datatools,datatools,0,0,0,0,0
rt,equinox,421,4280,4205,3046,13046
tools,thym,14,34,42,9,130
tools,mtj,8,203,283,225,744
mylyn,mylyncontextmft,0,0,0,0,0
modeling,edapt,14,46,33,27,125
iot,hawkbit,0,0,0,0,0
modeling,fmc,0,1,0,0,9
modeling,amalgam,3,59,25,10,124
iot,ponte,0,1,0,0,4
iot,tinydtls,3,4,0,0,7
tools,ajdt,35,629,518,185,1465
mylyn,mylyncontext,0,0,0,0,0
technology,ogee,0,23,4,3,33
