domain,project,os,priority,hardware,version,component,severity,assignee,product,status,total
modeling,graphiti,211,115,232,166,17,52,0,16,0,598
iot,californium,2,0,2,0,0,4,0,0,0,66
tools,tmw,0,0,0,0,0,0,0,0,0,0
technology,m2e,54,11,40,79,15,75,0,9,0,1604
foundation,simultaneousrelease,0,0,0,0,0,0,0,0,0,0
rt,vertx,1,0,1,29,1,35,0,0,0,394
modeling,mdt.modisco,6,396,5,85,39,86,0,10,0,984
technology,actf,2,4,1,6,49,15,0,0,0,1013
modeling,acceleo,4,76,4,32,5,51,0,0,0,898
mylyn,mylyndocsintent,0,0,0,0,0,0,0,0,0,0
mylyn,mylynincubator,0,0,0,0,0,0,0,0,0,0
foundation,community,0,0,0,0,0,0,0,0,0,0
iot,vorto,1,2,0,6,35,11,0,0,0,157
mylyn,mylyncommons,0,0,0,0,0,0,0,0,0,0
modeling,sphinx,21,14,19,33,16,8,0,1,0,463
technology,rtsc,94,134,87,3,11,32,0,0,0,1229
ecd,orion,61,88,28,218,485,250,0,426,0,9557
tools,pdt,118,677,52,338,269,368,0,25,0,5440
webtools,wtpincubator,0,0,0,0,0,0,0,0,0,0
technology,nebula,32,66,16,16,12,45,0,8,0,1118
foundation,drupal,0,0,0,0,0,0,0,0,0,0
technology,ease,58,2,55,57,51,23,0,44,0,454
technology,tigerstripe,1,14,0,1,7,82,0,1,0,1147
modeling,emfstore,30,51,4,8,1,8,0,0,0,528
rt,riena,29,85,25,11,56,46,0,0,0,998
technology,flux,2,1,2,0,1,1,0,0,0,61
science,texlipse,0,0,0,0,0,0,0,0,0,0
rt,yasson,0,0,0,0,0,0,0,0,0,0
modeling,pmf,0,0,0,0,0,0,0,0,0,31
webtools,dalijpatools,0,0,0,0,0,0,0,0,0,0
iot,risev2g,0,0,0,0,0,0,0,0,0,1
technology,technologytoplevel,0,0,0,0,0,0,0,0,0,0
tools,andmore,0,1,0,4,2,0,0,2,0,114
modeling,franca,0,0,0,0,0,0,0,0,0,0
