domain,project,value,os,priority,hardware,version,component,severity,assignee,product,status,total
modeling,graphiti,avg,54,184,55,35,6,79,0,6,0,598
modeling,graphiti,min,0,0,0,0,0,0,0,0,0,598
modeling,graphiti,max,413,1827,413,223,11,399,0,11,0,598
iot,californium,avg,1,0,1,0,0,45,0,0,0,66
iot,californium,min,0,0,0,0,0,0,0,0,0,66
iot,californium,max,2,0,2,0,0,135,0,0,0,66
tools,tmw,avg,0,0,0,0,0,0,0,0,0,0
tools,tmw,min,0,0,0,0,0,0,0,0,0,0
tools,tmw,max,0,0,0,0,0,0,0,0,0,0
technology,m2e,avg,251,89,315,308,85,176,0,2,0,1604
technology,m2e,min,0,0,0,0,0,0,0,0,0,1604
technology,m2e,max,1091,324,1091,1180,486,1516,0,5,0,1604
foundation,simultaneousrelease,avg,0,0,0,0,0,0,0,0,0,0
foundation,simultaneousrelease,min,0,0,0,0,0,0,0,0,0,0
foundation,simultaneousrelease,max,0,0,0,0,0,0,0,0,0,0
rt,vertx,avg,0,0,0,61,0,16,0,0,0,394
rt,vertx,min,0,0,0,0,0,0,0,0,0,394
rt,vertx,max,0,0,0,440,0,99,0,0,0,394
modeling,mdt.modisco,avg,3,275,3,230,253,347,0,487,0,984
modeling,mdt.modisco,min,0,0,0,0,0,0,0,0,0,984
modeling,mdt.modisco,max,7,1605,7,886,850,2161,0,850,0,984
technology,actf,avg,4,34,0,624,1818,54,0,0,0,1013
technology,actf,min,0,0,0,0,0,0,0,0,0,1013
technology,actf,max,7,68,0,2200,2529,229,0,0,0,1013
modeling,acceleo,avg,186,296,186,282,216,165,0,0,0,898
modeling,acceleo,min,0,0,0,0,0,0,0,0,0,898
modeling,acceleo,max,557,1064,557,970,433,938,0,0,0,898
mylyn,mylyndocsintent,avg,0,0,0,0,0,0,0,0,0,0
mylyn,mylyndocsintent,min,0,0,0,0,0,0,0,0,0,0
mylyn,mylyndocsintent,max,0,0,0,0,0,0,0,0,0,0
mylyn,mylynincubator,avg,0,0,0,0,0,0,0,0,0,0
mylyn,mylynincubator,min,0,0,0,0,0,0,0,0,0,0
mylyn,mylynincubator,max,0,0,0,0,0,0,0,0,0,0
foundation,community,avg,0,0,0,0,0,0,0,0,0,0
foundation,community,min,0,0,0,0,0,0,0,0,0,0
foundation,community,max,0,0,0,0,0,0,0,0,0,0
iot,vorto,avg,0,0,0,33,121,57,0,0,0,157
iot,vorto,min,0,0,0,1,1,13,0,0,0,157
iot,vorto,max,0,0,0,118,233,139,0,0,0,157
mylyn,mylyncommons,avg,0,0,0,0,0,0,0,0,0,0
mylyn,mylyncommons,min,0,0,0,0,0,0,0,0,0,0
mylyn,mylyncommons,max,0,0,0,0,0,0,0,0,0,0
modeling,sphinx,avg,80,66,80,64,162,1,0,0,0,463
modeling,sphinx,min,0,0,0,0,0,0,0,0,0,463
modeling,sphinx,max,300,205,300,400,467,2,0,0,0,463
technology,rtsc,avg,156,118,142,0,200,71,0,0,0,1229
technology,rtsc,min,0,0,0,0,0,0,0,0,0,1229
technology,rtsc,max,785,856,522,0,666,739,0,0,0,1229
ecd,orion,avg,109,96,157,132,137,106,0,128,0,9557
ecd,orion,min,0,0,0,0,0,0,0,0,0,9557
ecd,orion,max,905,392,905,1213,1071,997,0,231,0,9557
tools,pdt,avg,331,268,448,186,337,252,0,40,0,5440
tools,pdt,min,0,0,0,0,0,0,0,0,0,5440
tools,pdt,max,3252,1349,3252,1858,3112,2696,0,214,0,5440
