domain,project,field,1,2,3,4,total
modeling,graphiti,os,210,1,0,0,598
modeling,graphiti,priority,86,21,7,1,598
modeling,graphiti,hardware,232,0,0,0,598
modeling,graphiti,version,165,1,0,0,598
modeling,graphiti,component,17,0,0,0,598
modeling,graphiti,severity,52,0,0,0,598
modeling,graphiti,assignee,0,0,0,0,598
modeling,graphiti,product,16,0,0,0,598
modeling,graphiti,status,0,0,0,0,598
iot,californium,os,2,0,0,0,66
iot,californium,priority,0,0,0,0,66
iot,californium,hardware,2,0,0,0,66
iot,californium,version,0,0,0,0,66
iot,californium,component,0,0,0,0,66
iot,californium,severity,4,0,0,0,66
iot,californium,assignee,0,0,0,0,66
iot,californium,product,0,0,0,0,66
iot,californium,status,0,0,0,0,66
technology,m2e,os,53,1,0,0,1604
technology,m2e,priority,11,0,0,0,1604
technology,m2e,hardware,40,0,0,0,1604
technology,m2e,version,75,4,0,0,1604
technology,m2e,component,13,2,0,0,1604
technology,m2e,severity,72,3,0,0,1604
technology,m2e,assignee,0,0,0,0,1604
technology,m2e,product,9,0,0,0,1604
technology,m2e,status,0,0,0,0,1604
modeling,ocl,os,3,0,0,0,1739
modeling,ocl,priority,27,1,0,0,1739
modeling,ocl,hardware,4,0,0,0,1739
modeling,ocl,version,22,2,0,0,1739
modeling,ocl,component,13,2,0,0,1739
modeling,ocl,severity,58,5,0,0,1739
modeling,ocl,assignee,0,0,0,0,1739
modeling,ocl,product,13,1,0,0,1739
modeling,ocl,status,0,0,0,0,1739
modeling,mdt.rmf,os,13,0,0,0,347
modeling,mdt.rmf,priority,64,13,0,0,347
modeling,mdt.rmf,hardware,11,0,0,0,347
modeling,mdt.rmf,version,0,0,0,0,347
modeling,mdt.rmf,component,1,0,0,0,347
modeling,mdt.rmf,severity,49,1,0,0,347
modeling,mdt.rmf,assignee,0,0,0,0,347
modeling,mdt.rmf,product,0,0,0,0,347
modeling,mdt.rmf,status,0,0,0,0,347
technology,dltk,os,22,0,0,0,1121
technology,dltk,priority,44,2,0,0,1121
technology,dltk,hardware,6,0,0,0,1121
technology,dltk,version,289,3,1,0,1121
technology,dltk,component,12,1,0,0,1121
technology,dltk,severity,28,1,0,0,1121
technology,dltk,assignee,0,0,0,0,1121
technology,dltk,product,8,0,0,0,1121
technology,dltk,status,0,0,0,0,1121
technology,gef3d,os,2,0,0,0,120
technology,gef3d,priority,1,0,0,0,120
technology,gef3d,hardware,2,0,0,0,120
technology,gef3d,version,0,1,0,0,120
technology,gef3d,component,1,1,0,0,120
technology,gef3d,severity,1,0,0,0,120
technology,gef3d,assignee,0,0,0,0,120
technology,gef3d,product,0,1,0,0,120
technology,gef3d,status,0,0,0,0,120
soa,stardust,os,2,0,0,0,538
soa,stardust,priority,0,0,0,0,538
soa,stardust,hardware,1,0,0,0,538
soa,stardust,version,37,3,0,1,538
soa,stardust,component,26,0,0,0,538
soa,stardust,severity,11,0,0,0,538
soa,stardust,assignee,0,0,0,0,538
soa,stardust,product,0,0,0,0,538
soa,stardust,status,0,0,0,0,538
tools,damos,os,0,0,0,0,6
tools,damos,priority,0,0,0,0,6
tools,damos,hardware,0,0,0,0,6
tools,damos,version,0,0,0,0,6
tools,damos,component,0,0,0,0,6
tools,damos,severity,0,0,0,0,6
tools,damos,assignee,0,0,0,0,6
tools,damos,product,0,0,0,0,6
tools,damos,status,0,0,0,0,6
rt,vertx,os,1,0,0,0,394
rt,vertx,priority,0,0,0,0,394
rt,vertx,hardware,1,0,0,0,394
rt,vertx,version,28,1,0,0,394
rt,vertx,component,1,0,0,0,394
rt,vertx,severity,33,1,1,0,394
rt,vertx,assignee,0,0,0,0,394
rt,vertx,product,0,0,0,0,394
rt,vertx,status,0,0,0,0,394
modeling,mdt.modisco,os,6,0,0,0,984
modeling,mdt.modisco,priority,281,93,15,7,984
modeling,mdt.modisco,hardware,5,0,0,0,984
modeling,mdt.modisco,version,76,9,0,0,984
modeling,mdt.modisco,component,39,0,0,0,984
modeling,mdt.modisco,severity,85,1,0,0,984
modeling,mdt.modisco,assignee,0,0,0,0,984
modeling,mdt.modisco,product,10,0,0,0,984
modeling,mdt.modisco,status,0,0,0,0,984
technology,actf,os,2,0,0,0,1013
technology,actf,priority,4,0,0,0,1013
technology,actf,hardware,1,0,0,0,1013
technology,actf,version,5,1,0,0,1013
technology,actf,component,47,2,0,0,1013
technology,actf,severity,15,0,0,0,1013
technology,actf,assignee,0,0,0,0,1013
technology,actf,product,0,0,0,0,1013
technology,actf,status,0,0,0,0,1013
modeling,acceleo,os,4,0,0,0,898
modeling,acceleo,priority,68,8,0,0,898
modeling,acceleo,hardware,4,0,0,0,898
modeling,acceleo,version,32,0,0,0,898
modeling,acceleo,component,5,0,0,0,898
modeling,acceleo,severity,48,3,0,0,898
modeling,acceleo,assignee,0,0,0,0,898
modeling,acceleo,product,0,0,0,0,898
modeling,acceleo,status,0,0,0,0,898
technology,lsp4j,os,0,0,0,0,1
technology,lsp4j,priority,0,0,0,0,1
technology,lsp4j,hardware,0,0,0,0,1
technology,lsp4j,version,0,0,0,0,1
technology,lsp4j,component,0,0,0,0,1
technology,lsp4j,severity,0,0,0,0,1
technology,lsp4j,assignee,0,0,0,0,1
technology,lsp4j,product,0,0,0,0,1
technology,lsp4j,status,0,0,0,0,1
eclipse,pde,os,227,2,0,0,15737
eclipse,pde,priority,258,31,5,0,15737
eclipse,pde,hardware,156,1,0,0,15737
eclipse,pde,version,428,7,1,0,15737
eclipse,pde,component,260,49,0,0,15737
eclipse,pde,severity,612,46,9,1,15737
eclipse,pde,assignee,0,0,0,0,15737
eclipse,pde,product,128,9,0,0,15737
eclipse,pde,status,0,0,0,0,15737
technology,lsp4e,os,7,0,0,0,60
technology,lsp4e,priority,3,0,0,0,60
technology,lsp4e,hardware,8,0,0,0,60
technology,lsp4e,version,0,0,0,0,60
technology,lsp4e,component,13,0,0,0,60
technology,lsp4e,severity,7,0,0,0,60
technology,lsp4e,assignee,0,0,0,0,60
technology,lsp4e,product,0,0,0,0,60
technology,lsp4e,status,0,0,0,0,60
iot,vorto,os,1,0,0,0,157
iot,vorto,priority,2,0,0,0,157
iot,vorto,hardware,0,0,0,0,157
iot,vorto,version,5,1,0,0,157
iot,vorto,component,35,0,0,0,157
iot,vorto,severity,10,1,0,0,157
iot,vorto,assignee,0,0,0,0,157
iot,vorto,product,0,0,0,0,157
iot,vorto,status,0,0,0,0,157
rt,rap,os,529,2,2,0,5011
rt,rap,priority,442,41,0,0,5011
rt,rap,hardware,469,1,2,0,5011
rt,rap,version,470,8,2,0,5011
rt,rap,component,268,6,1,0,5011
rt,rap,severity,493,17,2,0,5011
rt,rap,assignee,0,0,0,0,5011
rt,rap,product,4,0,0,0,5011
rt,rap,status,0,0,0,0,5011
modeling,mdt.bpmn2,os,0,0,0,0,62
modeling,mdt.bpmn2,priority,0,0,0,0,62
modeling,mdt.bpmn2,hardware,0,0,0,0,62
modeling,mdt.bpmn2,version,3,0,0,0,62
modeling,mdt.bpmn2,component,0,0,0,0,62
modeling,mdt.bpmn2,severity,1,0,0,0,62
modeling,mdt.bpmn2,assignee,0,0,0,0,62
modeling,mdt.bpmn2,product,0,0,0,0,62
modeling,mdt.bpmn2,status,0,0,0,0,62
modeling,sphinx,os,20,1,0,0,463
modeling,sphinx,priority,14,0,0,0,463
modeling,sphinx,hardware,18,1,0,0,463
modeling,sphinx,version,32,1,0,0,463
modeling,sphinx,component,15,1,0,0,463
modeling,sphinx,severity,8,0,0,0,463
modeling,sphinx,assignee,0,0,0,0,463
modeling,sphinx,product,1,0,0,0,463
modeling,sphinx,status,0,0,0,0,463
rt,gemini.naming,os,0,0,0,0,26
rt,gemini.naming,priority,0,0,0,0,26
rt,gemini.naming,hardware,0,0,0,0,26
rt,gemini.naming,version,0,0,0,0,26
rt,gemini.naming,component,1,2,0,0,26
rt,gemini.naming,severity,2,0,0,0,26
