domain,project,os,priority,hardware,version,component,severity,assignee,product,status,total
modeling,graphiti,200,84,223,144,11,24,0,10,0,598
iot,californium,2,0,2,0,0,4,0,0,0,66
technology,m2e,54,11,40,79,15,74,0,9,0,1604
modeling,ocl,3,27,4,22,15,63,0,14,0,1739
modeling,mdt.rmf,12,74,10,0,1,44,0,0,0,347
technology,dltk,18,43,6,242,13,26,0,8,0,1121
technology,gef3d,1,1,1,1,2,1,0,1,0,120
soa,stardust,2,0,1,41,26,11,0,0,0,538
rt,vertx,1,0,1,28,1,34,0,0,0,394
modeling,mdt.modisco,6,394,5,74,32,86,0,3,0,984
technology,actf,1,4,1,6,42,14,0,0,0,1013
modeling,acceleo,4,76,4,32,5,51,0,0,0,898
eclipse,pde,224,288,153,434,301,653,0,134,0,15737
technology,lsp4e,7,3,8,0,13,7,0,0,0,60
iot,vorto,1,2,0,6,31,11,0,0,0,157
rt,rap,426,343,337,413,201,426,0,4,0,5011
modeling,mdt.bpmn2,0,0,0,3,0,1,0,0,0,62
modeling,sphinx,21,14,19,33,16,8,0,1,0,463
rt,gemini.naming,0,0,0,0,3,2,0,3,0,26
technology,lyo,19,2,21,31,3,42,0,0,0,881
modeling,emft,4,32,2,26,10,33,0,6,0,604
technology,rtsc,67,104,62,3,7,27,0,0,0,1229
ecd,orion,59,84,28,215,447,246,0,388,0,9557
tools,pdt,118,668,52,334,265,365,0,25,0,5440
technology,nebula,31,61,15,16,11,43,0,8,0,1118
tools,ldt,14,88,11,27,1,65,0,0,0,381
technology,tm4e,0,0,0,0,0,1,0,0,0,1
technology,ease,56,2,53,56,51,23,0,44,0,454
modeling,emfcompare,11,24,10,63,57,45,0,3,0,1095
technology,tigerstripe,1,13,0,0,6,78,0,1,0,1147
modeling,emfstore,29,51,4,8,1,8,0,0,0,528
rt,riena,29,83,25,11,54,46,0,0,0,998
technology,flux,2,1,2,0,1,1,0,0,0,61
modeling,qvto,5,7,4,12,12,13,0,2,0,967
science,ice,2,3,2,0,1,4,0,1,0,327
tools,windowbuilder,21,2,16,7,9,52,0,7,0,501
modeling,qvtd,0,0,0,1,87,3,0,0,0,262
modeling,tmf,64,58,60,393,146,541,0,9,0,5272
tools,andmore,0,0,0,3,2,0,0,2,0,114
soa,jwt,12,36,5,120,25,13,0,0,0,408
modeling,mmt,0,28,0,0,0,3,0,0,0,42
tools,mat,6,1,6,8,2,6,0,0,0,461
modeling,papyrus,691,64,705,727,389,499,0,5,0,9634
soa,mangrove,0,0,0,0,2,3,0,2,0,13
modeling,mdt.xsd,1,13,0,28,23,36,0,23,0,404
rt,eclipselink,74,1505,80,511,65,532,0,5,0,7952
technology,xwt,4,1,0,114,221,2,0,221,0,352
modeling,viatra,4,10,2,132,27,30,0,21,0,1037
technology,egit,145,3,124,176,21,372,0,10,0,4085
technology,eclemma,2,0,2,0,0,1,0,0,0,20
modeling,emft.henshin,0,0,0,0,2,1,0,0,0,90
soa,bpmn2modeler,1,8,0,23,4,39,0,1,0,705
modeling,eatop,1,0,1,0,1,0,0,0,0,34
rt,smila,7,14,6,8,5,27,0,0,0,216
modeling,efm,0,0,0,0,1,1,0,0,0,23
technology,nattable,4,0,2,7,4,30,0,0,0,743
technology,subversive,11,36,7,50,33,79,0,14,0,2591
rt,gemini,1,0,0,0,0,0,0,0,0,5
technology,jgit,34,2,30,61,6,109,0,4,0,991
technology,rcptt,3,2,0,6,3,7,0,0,0,254
webtools,libra,0,0,0,6,28,10,0,22,0,152
modeling,gendoc,0,0,0,3,2,4,0,0,0,106
modeling,mdt,0,28,0,5,4,16,0,3,0,114
modeling,emf,49,266,34,954,517,521,0,158,0,8029
technology,vtp,5,30,5,2,3,4,0,0,0,259
rt,gyrex,6,0,5,4,0,9,0,0,0,157
tools,cdt,226,254,103,1080,2028,663,0,312,0,19331
modeling,amp,8,13,8,11,2,11,0,0,0,171
technology,rtp,0,1,0,0,0,0,0,0,0,77
modeling,eef,11,4,12,145,234,22,0,234,0,330
modeling,emft.b3,8,9,6,0,2,9,0,1,0,140
modeling,capra,5,0,1,0,4,1,0,0,0,46
rt,gemini.jpa,3,1,3,20,8,4,0,7,0,126
technology,sisu,0,3,0,14,6,2,0,0,0,130
tools,orbit,7,12,6,0,6,27,0,3,0,1033
tools,titan,0,0,0,2,0,2,0,0,0,183
technology,sapphire,24,0,24,40,7,16,0,0,0,1189
tools,gef,73,155,46,73,142,150,0,31,0,2950
tools,oomph,7,8,10,406,94,123,0,57,0,1438
technology,scout,32,11,26,66,4,96,0,0,0,1912
rt,ecf,43,30,45,98,36,110,0,6,0,1944
technology,babel,3,23,2,7,25,21,0,7,0,653
technology,mpc,6,18,4,10,30,14,0,28,0,596
ecd,che,0,0,0,0,1,0,0,0,0,22
technology,efxclipse,3,0,2,11,21,46,0,1,0,1092
tools,tracecompass,1,0,0,72,71,29,0,70,0,500
technology,epf,12,227,8,106,20,121,0,1,0,3064
rt,apricot,0,0,0,0,1,1,0,1,0,14
technology,osee,43,3,42,20,4,15,0,1,0,355
eclipse,jdt,890,2231,696,888,650,2269,0,323,0,55279
modeling,emf.parsley,1,0,0,0,5,3,0,0,0,142
technology,handly,0,0,1,0,0,0,0,0,0,142
technology,recommenders.incubator,3,2,3,34,2,11,0,2,0,225
mylyn,mylyn,88,1887,32,146,247,942,0,26,0,8422
tools,atf,6,35,0,3,11,22,0,3,0,493
tools,aspectj,28,424,4,117,76,265,0,51,0,2884
modeling,modeling,0,2,1,8,12,18,0,10,0,217
modeling,emft.refactor,1,0,0,0,1,0,0,0,0,20
soa,bpel,2,5,1,11,3,6,0,1,0,376
technology,egerrit,1,1,0,1,1,49,0,0,0,394
technology,dash,5,5,2,0,7,3,0,1,0,199
technology,swtbot,94,28,97,80,31,27,0,1,0,524
