domain,project,0,1,2,3,4,total
modeling,graphiti,222,136,113,100,27,598
iot,californium,60,3,2,1,0,66
technology,m2e,1374,157,37,22,14,1604
modeling,ocl,1512,186,29,5,7,1739
modeling,mdt.rmf,245,72,20,6,4,347
technology,dltk,782,295,32,9,3,1121
technology,gef3d,115,3,1,1,0,120
soa,stardust,469,51,16,2,0,538
rt,vertx,327,56,11,0,0,394
modeling,mdt.modisco,525,335,103,16,5,984
technology,actf,941,63,9,0,0,1013
modeling,acceleo,744,112,31,7,4,898
eclipse,pde,13487,1781,340,103,26,15737
technology,lsp4e,34,16,7,3,0,60
iot,vorto,103,36,14,4,0,157
rt,rap,3561,915,314,160,61,5011
modeling,mdt.bpmn2,57,5,0,0,0,62
modeling,sphinx,383,48,18,9,5,463
rt,gemini.naming,21,2,3,0,0,26
technology,lyo,780,69,17,13,2,881
modeling,emft,486,97,14,6,1,604
technology,rtsc,973,157,73,16,10,1229
ecd,orion,8614,476,307,146,14,9557
tools,pdt,3747,1247,338,89,19,5440
technology,nebula,954,130,20,11,3,1118
tools,ldt,243,72,57,7,2,381
technology,tm4e,0,1,0,0,0,1
technology,ease,311,49,47,32,15,454
modeling,emfcompare,814,214,51,11,5,1095
technology,tigerstripe,958,171,15,3,0,1147
modeling,emfstore,443,67,14,4,0,528
rt,riena,823,110,47,16,2,998
technology,flux,58,1,1,0,1,61
modeling,qvto,845,109,11,2,0,967
science,ice,310,11,6,0,0,327
tools,windowbuilder,418,50,21,10,2,501
modeling,qvtd,167,86,9,0,0,262
modeling,tmf,4018,1007,186,46,15,5272
tools,andmore,99,13,0,2,0,114
soa,jwt,243,121,38,6,0,408
modeling,mmt,10,32,0,0,0,42
tools,mat,437,16,6,2,0,461
modeling,papyrus,7508,1149,344,339,294,9634
soa,mangrove,10,1,0,2,0,13
modeling,mdt.xsd,273,87,26,10,8,404
rt,eclipselink,5681,1764,412,72,23,7952
technology,xwt,109,21,119,99,4,352
modeling,viatra,826,156,47,7,1,1037
technology,egit,3387,508,117,56,17,4085
technology,eclemma,18,0,1,1,0,20
modeling,emft.henshin,87,3,0,0,0,90
soa,bpmn2modeler,543,144,15,3,0,705
modeling,eatop,31,2,1,0,0,34
rt,smila,174,25,11,3,3,216
modeling,efm,21,2,0,0,0,23
technology,nattable,676,57,8,2,0,743
technology,subversive,2351,194,25,16,5,2591
rt,gemini,4,1,0,0,0,5
technology,jgit,787,157,28,16,3,991
technology,rcptt,222,29,3,0,0,254
webtools,libra,107,22,21,2,0,152
modeling,gendoc,90,15,1,0,0,106
modeling,mdt,64,33,15,1,1,114
modeling,emf,5817,1521,432,181,78,8029
technology,vtp,212,42,2,2,1,259
rt,gyrex,140,12,1,4,0,157
tools,cdt,15284,3152,479,317,99,19331
modeling,amp,138,19,7,7,0,171
technology,rtp,76,0,1,0,0,77
modeling,eef,76,10,93,139,12,330
modeling,emft.b3,117,14,5,4,0,140
modeling,capra,37,7,2,0,0,46
rt,gemini.jpa,96,19,8,2,1,126
technology,sisu,110,16,2,2,0,130
tools,orbit,972,42,16,2,1,1033
tools,titan,171,12,0,0,0,183
technology,sapphire,1099,67,11,9,3,1189
tools,gef,2329,422,147,47,5,2950
tools,oomph,964,302,91,61,20,1438
technology,scout,1689,167,43,12,1,1912
rt,ecf,1640,238,38,20,8,1944
technology,babel,561,72,12,6,2,653
technology,mpc,524,35,22,14,1,596
