domain,project,value,os,priority,hardware,version,component,severity,assignee,product,status,total
modeling,graphiti,avg,34,8,35,11,4,4,0,4,0,598
modeling,graphiti,min,0,0,0,0,0,0,0,0,0,598
modeling,graphiti,max,413,41,413,42,10,8,0,10,0,598
iot,californium,avg,1,0,1,0,0,45,0,0,0,66
iot,californium,min,0,0,0,0,0,0,0,0,0,66
iot,californium,max,2,0,2,0,0,135,0,0,0,66
technology,m2e,avg,251,89,315,308,85,188,0,2,0,1604
technology,m2e,min,0,0,0,0,0,0,0,0,0,1604
technology,m2e,max,1091,324,1091,1180,486,1516,0,5,0,1604
modeling,ocl,avg,1,90,1,76,392,161,0,392,0,1739
modeling,ocl,min,0,0,0,0,0,0,0,0,0,1739
modeling,ocl,max,2,434,2,245,2011,676,0,2011,0,1739
modeling,mdt.rmf,avg,137,125,176,0,21,280,0,0,0,347
modeling,mdt.rmf,min,1,0,12,0,21,0,0,0,0,347
modeling,mdt.rmf,max,545,545,545,0,21,1027,0,0,0,347
technology,dltk,avg,248,230,369,217,86,259,0,81,0,1121
technology,dltk,min,0,0,0,0,0,0,0,1,0,1121
technology,dltk,max,1160,594,1160,641,215,1160,0,215,0,1121
technology,gef3d,avg,3,0,3,0,0,0,0,0,0,120
technology,gef3d,min,3,0,3,0,0,0,0,0,0,120
technology,gef3d,max,3,0,3,0,0,0,0,0,0,120
soa,stardust,avg,0,0,0,99,134,81,0,0,0,538
soa,stardust,min,0,0,0,0,0,0,0,0,0,538
soa,stardust,max,0,0,0,475,475,162,0,0,0,538
rt,vertx,avg,0,0,0,64,0,16,0,0,0,394
rt,vertx,min,0,0,0,0,0,0,0,0,0,394
rt,vertx,max,0,0,0,440,0,99,0,0,0,394
modeling,mdt.modisco,avg,3,275,3,129,184,347,0,403,0,984
modeling,mdt.modisco,min,0,0,0,0,0,0,0,0,0,984
modeling,mdt.modisco,max,7,1605,7,703,850,2161,0,850,0,984
technology,actf,avg,0,34,0,624,1710,64,0,0,0,1013
technology,actf,min,0,0,0,0,0,0,0,0,0,1013
technology,actf,max,0,68,0,2200,2529,229,0,0,0,1013
modeling,acceleo,avg,186,296,186,282,216,165,0,0,0,898
modeling,acceleo,min,0,0,0,0,0,0,0,0,0,898
modeling,acceleo,max,557,1064,557,970,433,938,0,0,0,898
eclipse,pde,avg,348,95,277,163,75,296,0,77,0,15737
eclipse,pde,min,0,0,0,0,0,0,0,0,0,15737
eclipse,pde,max,2565,1773,2489,661,480,2217,0,480,0,15737
technology,lsp4e,avg,3,32,3,0,4,4,0,0,0,60
technology,lsp4e,min,0,0,0,0,1,0,0,0,0,60
technology,lsp4e,max,6,63,6,0,6,9,0,0,0,60
iot,vorto,avg,0,0,0,33,126,57,0,0,0,157
iot,vorto,min,0,0,0,1,1,13,0,0,0,157
iot,vorto,max,0,0,0,118,232,139,0,0,0,157
rt,rap,avg,106,158,98,121,241,178,0,4,0,5011
rt,rap,min,0,0,0,0,0,0,0,0,0,5011
rt,rap,max,1261,1207,1261,1486,986,1456,0,7,0,5011
modeling,mdt.bpmn2,avg,0,0,0,0,0,0,0,0,0,62
modeling,mdt.bpmn2,min,0,0,0,0,0,0,0,0,0,62
modeling,mdt.bpmn2,max,0,0,0,0,0,0,0,0,0,62
modeling,sphinx,avg,80,66,80,64,162,1,0,0,0,463
modeling,sphinx,min,0,0,0,0,0,0,0,0,0,463
modeling,sphinx,max,300,205,300,400,467,2,0,0,0,463
rt,gemini.naming,avg,0,0,0,0,126,0,0,126,0,26
rt,gemini.naming,min,0,0,0,0,51,0,0,51,0,26
rt,gemini.naming,max,0,0,0,0,234,0,0,234,0,26
technology,lyo,avg,66,4,72,48,7,150,0,0,0,881
technology,lyo,min,0,0,0,0,0,0,0,0,0,881
technology,lyo,max,364,7,364,94,13,687,0,0,0,881
modeling,emft,avg,73,278,1,190,209,101,0,209,0,604
modeling,emft,min,0,0,0,0,0,0,0,0,0,604
modeling,emft,max,289,1081,1,611,779,795,0,779,0,604
technology,rtsc,avg,101,119,105,0,95,22,0,0,0,1229
technology,rtsc,min,0,0,0,0,0,0,0,0,0,1229
technology,rtsc,max,386,818,386,0,389,111,0,0,0,1229
ecd,orion,avg,109,103,157,134,136,110,0,127,0,9557
ecd,orion,min,0,0,0,0,0,0,0,0,0,9557
ecd,orion,max,905,392,905,1213,1071,997,0,231,0,9557
tools,pdt,avg,331,268,448,185,340,255,0,40,0,5440
tools,pdt,min,0,0,0,0,0,0,0,0,0,5440
tools,pdt,max,3252,1349,3252,1858,3112,2696,0,214,0,5440
technology,nebula,avg,137,311,129,169,35,121,0,35,0,1118
technology,nebula,min,0,0,0,0,0,0,0,0,0,1118
technology,nebula,max,663,934,456,1607,131,663,0,131,0,1118
tools,ldt,avg,45,201,2,463,1,110,0,0,0,381
tools,ldt,min,0,0,0,0,1,0,0,0,0,381
tools,ldt,max,214,1014,5,1014,1,307,0,0,0,381
technology,tm4e,avg,0,0,0,0,0,57,0,0,0,1
technology,tm4e,min,0,0,0,0,0,57,0,0,0,1
technology,tm4e,max,0,0,0,0,0,57,0,0,0,1
technology,ease,avg,154,218,132,179,238,126,0,219,0,454
technology,ease,min,0,64,0,0,0,0,0,0,0,454
technology,ease,max,1034,371,759,1034,398,385,0,303,0,454
modeling,emfcompare,avg,8,110,107,473,577,140,0,73,0,1095
modeling,emfcompare,min,0,0,0,0,0,0,0,0,0,1095
modeling,emfcompare,max,22,609,402,2042,2070,1184,0,187,0,1095
technology,tigerstripe,avg,0,151,0,0,17,257,0,2,0,1147
technology,tigerstripe,min,0,0,0,0,0,0,0,2,0,1147
technology,tigerstripe,max,0,524,0,0,55,1168,0,2,0,1147
modeling,emfstore,avg,38,113,0,189,0,19,0,0,0,528
