component,os,priority,hardware,version,component,severity,assignee,product,status,total
robotml,1,0,1,0,1,0,0,0,0,31
connectors,1,0,1,6,2,5,0,1,0,649
ide-rcp,0,1,0,0,0,1,0,0,0,6
hmi,1,0,1,3,0,1,0,0,0,23
linuxtools-package,0,0,0,6,0,0,0,0,0,26
plugins,23,4,1,15,26,10,0,2,0,320
cdo.releng,1,0,1,15,5,5,0,0,0,71
tablecombo,0,0,0,1,0,1,0,0,0,27
4diac-lib,0,0,0,0,0,0,0,0,0,8
ios,0,0,0,0,0,2,0,0,0,10
remote,2,0,2,2,9,0,0,0,0,58
moxy,8,29,8,49,3,57,0,0,0,900
reportdesigner,8,102,3,60,68,141,0,7,0,3888
dev,0,0,0,0,1,0,0,0,0,5
oseetestenvironment(ote),1,0,1,1,0,0,0,0,0,14
xml,1,19,2,3,2,5,0,0,0,96
sci,0,0,0,0,0,0,0,0,0,10
jstools,6,21,6,5,13,35,0,0,0,720
usagedatacollector,1,13,0,3,7,6,0,0,0,161
applicationtypes,0,0,0,0,0,0,0,0,0,2
cdt-source-nav,4,1,1,17,14,2,0,2,0,109
cda,2,0,2,0,3,0,0,0,0,11
4diac-ide,0,0,0,79,1,2,0,0,0,347
ecf.cola,0,0,0,2,2,3,0,0,0,43
eswt,7,3,3,6,9,19,0,1,0,487
runtime-wiki,0,0,0,0,0,0,0,0,0,2
documentation,14,19,12,27,30,44,0,3,0,978
ai,1,0,0,1,0,3,0,0,0,804
revisiongraph,0,0,0,1,0,0,0,0,0,65
calendarcombo,0,0,0,1,1,3,0,1,0,78
cdi,0,0,0,0,0,1,0,0,0,5
analysis,1,0,0,0,0,0,0,0,0,9
packages,0,1,0,0,0,0,0,0,0,31
picturecontrol,0,0,0,0,0,0,0,0,0,4
packager,9,1,8,7,13,4,0,0,0,163
proxy,1,0,1,0,0,1,0,0,0,25
extensions,0,2,0,0,0,0,0,0,0,8
util,0,0,0,0,0,1,0,0,0,27
reporting-package,1,0,1,0,0,2,0,0,0,23
ecore,0,1,0,0,0,1,0,0,0,48
sdk,1,0,1,1,7,1,0,0,0,40
sdo,0,10,0,8,2,7,0,0,0,314
recorder/generator,8,0,8,6,2,3,0,0,0,51
ecf.twitterhub,0,0,0,0,0,2,0,0,0,52
compare,19,59,13,60,30,68,0,19,0,1374
miscellaneous,0,0,0,0,1,1,0,0,0,4
galileo-builder,9,0,9,1,1,1,0,1,0,84
amfui,2,3,2,4,1,2,0,0,0,38
photran.editor&amp;outlineview,2,28,1,10,14,9,0,11,0,171
jsp,0,0,0,1,0,1,0,0,0,6
debugcore,6,6,3,3,1,4,0,0,0,112
incubators,1,0,1,4,6,3,0,0,0,168
validationruntimeextensions,0,2,0,1,0,0,0,0,0,12
eis,0,0,0,0,0,0,0,0,0,6
expressionlanguage,0,0,0,0,0,1,0,0,0,7
embedder,2,0,2,1,2,2,0,1,0,31
cep,0,5,0,3,1,8,0,0,0,47
commonbuilder(retired),0,0,0,0,0,0,0,0,0,2
mint,0,0,0,9,0,0,0,0,0,53
releng/management,0,4,0,0,2,1,0,0,0,15
search,58,78,54,47,29,58,0,29,0,1866
clientcore,12,12,1,3,0,2,0,0,0,207
photran.debugger&amp;consoleview,1,2,1,5,6,2,0,6,0,43
extdoc,1,1,1,1,3,2,0,0,0,42
rcp,3,0,3,3,4,6,0,3,0,107
completion,13,9,12,16,12,25,0,2,0,318
website,16,68,12,22,26,56,0,12,0,1698
rdt.sync,8,2,6,12,18,10,0,0,0,218
generalui,13,72,2,31,25,30,0,5,0,1270
aggregator,0,0,0,0,1,3,0,0,0,100
shelled,0,0,0,0,0,0,0,0,0,4
website/doc,0,0,0,0,0,1,0,0,0,1
automotive-package,0,0,0,0,0,0,0,0,0,2
collapsiblebuttons,1,0,1,0,0,0,0,0,0,4
e4,0,0,0,1,1,2,0,1,0,29
javame-package,0,0,0,2,0,1,0,0,0,21
swing,6,1,5,3,2,23,0,2,0,241
wizard,2,16,1,8,30,9,0,28,0,553
facet,0,0,0,0,0,5,0,0,0,91
scout,16,9,11,49,0,77,0,0,0,1667
visualization,1,1,1,3,0,5,0,0,0,293
epfwiki,0,11,0,1,1,2,0,0,0,164
gefdot,2,0,2,0,5,1,0,0,0,60
rdt,5,31,2,65,13,13,0,0,0,773
warproducts,0,0,0,3,27,3,0,22,0,167
debugger,17,59,5,33,57,41,0,0,0,1524
geflayout,0,0,0,0,1,0,0,0,0,15
isp,0,0,0,0,4,0,0,0,0,22
mpidevelopmenttools,0,0,0,0,0,0,0,0,0,2
lttng,0,0,0,9,9,7,0,9,0,119
securitymanagement,0,0,0,0,0,0,0,0,0,3
remotetools,2,0,1,25,5,7,0,0,0,199
oseeapplicationframework,18,3,18,8,3,10,0,1,0,185
rif-1.2,1,1,1,0,0,0,0,0,0,5
packagecontent,6,0,6,17,13,4,0,4,0,156
cdt-debug-dsf,27,1,2,152,140,29,0,135,0,1000
ide-scm-jgit,0,0,0,2,0,0,0,0,0,8
cdo.db,1,1,1,64,23,12,0,0,0,252
p2repositoryanalyzers,0,0,0,0,0,0,0,0,0,4
workbench,54,30,47,43,20,47,0,1,0,750
p2management,0,0,0,19,7,6,0,3,0,110
protocols,0,1,0,1,0,0,0,0,0,8
others,67,8,68,41,33,25,0,0,0,899
eclipsebot,13,0,14,17,4,6,0,0,0,181
photran.refactoringengine,1,25,0,5,4,12,0,2,0,99
test,1,0,0,0,1,6,0,0,0,28
cdo.legacy,1,0,1,12,3,1,0,0,0,39
patterns,0,0,0,0,0,0,0,0,0,76
ecf.doc,0,0,0,2,0,0,0,0,0,62
eclipsemodeler,0,0,0,2,7,0,0,0,0,44
ecf.datashare,0,0,0,0,0,0,0,0,0,10
ide-core,0,0,0,0,0,0,0,0,0,4
scout-package,0,0,0,1,0,0,0,0,0,15
tests,1,0,0,0,0,0,0,0,0,25
cdt-parser,18,38,12,46,54,90,0,1,0,2161
cdt-codan,8,0,6,34,14,9,0,0,0,324
irms,1,1,1,0,0,2,0,0,0,19
ide-editor-ace,0,0,0,1,0,0,0,0,0,8
codegenerators,0,0,0,3,2,7,0,0,0,61
4diac-sys,0,0,0,0,1,0,0,0,0,7
runtime-ui,0,2,0,7,0,4,0,0,0,41
gefzest,0,4,0,1,6,0,0,0,0,117
browsertooling,0,15,0,0,0,3,0,0,0,65
xsd,0,0,0,0,0,0,0,0,0,6
ems,0,0,0,0,3,1,0,0,0,20
releaseengineer,0,2,0,2,2,1,0,0,0,153
content,6,119,7,82,3,73,0,0,0,775
desktop,0,0,1,6,2,1,0,0,0,38
refactoring,0,0,0,0,0,0,0,0,0,9
