component,0,1,2,3,4,total
robotml,28,2,1,0,0,31
connectors,635,10,2,2,0,649
ide-rcp,4,2,0,0,0,6
hmi,18,4,1,0,0,23
linuxtools-package,20,6,0,0,0,26
plugins,246,60,12,1,1,320
cdo.releng,52,13,3,2,1,71
tablecombo,26,0,1,0,0,27
4diac-lib,8,0,0,0,0,8
ios,8,1,1,0,0,10
remote,47,8,2,1,0,58
moxy,749,138,12,1,0,900
reportdesigner,3348,470,57,13,0,3888
dev,4,1,0,0,0,5
oseetestenvironment(ote),12,1,1,0,0,14
xml,71,16,8,1,0,96
sci,10,0,0,0,0,10
jstools,639,67,9,4,1,720
usagedatacollector,142,6,13,0,0,161
applicationtypes,2,0,0,0,0,2
cdt-source-nav,77,25,4,3,0,109
cda,7,2,0,0,2,11
4diac-ide,264,81,2,0,0,347
ecf.cola,35,8,0,0,0,43
eswt,426,53,4,2,2,487
runtime-wiki,2,0,0,0,0,2
documentation,838,105,24,7,4,978
ai,799,4,1,0,0,804
revisiongraph,64,1,0,0,0,65
calendarcombo,74,2,1,1,0,78
cdi,4,1,0,0,0,5
analysis,8,1,0,0,0,9
packages,30,0,1,0,0,31
picturecontrol,4,0,0,0,0,4
packager,137,16,3,6,1,163
proxy,23,1,1,0,0,25
extensions,6,2,0,0,0,8
util,26,1,0,0,0,27
reporting-package,20,2,1,0,0,23
ecore,44,4,0,0,0,48
sdk,31,8,0,0,1,40
sdo,282,28,4,0,0,314
recorder/generator,42,0,2,5,2,51
ecf.twitterhub,50,2,0,0,0,52
compare,1093,226,43,11,1,1374
miscellaneous,3,0,1,0,0,4
galileo-builder,73,1,8,1,1,84
amfui,31,2,3,2,0,38
photran.editor&amp;outlineview,133,18,8,5,7,171
jsp,4,2,0,0,0,6
debugcore,91,9,10,2,0,112
incubators,151,16,1,0,0,168
validationruntimeextensions,8,4,0,0,0,12
eis,6,0,0,0,0,6
expressionlanguage,6,1,0,0,0,7
embedder,27,1,1,0,2,31
cep,33,11,2,1,0,47
commonbuilder(retired),2,0,0,0,0,2
mint,44,9,0,0,0,53
releng/management,11,2,1,1,0,15
search,1570,199,54,27,16,1866
clientcore,182,18,6,1,0,207
photran.debugger&amp;consoleview,35,2,0,3,3,43
extdoc,37,3,1,0,1,42
rcp,93,6,5,3,0,107
completion,267,29,10,6,6,318
website,1461,183,34,17,3,1698
rdt.sync,185,22,5,1,5,218
generalui,1111,121,29,8,1,1270
aggregator,94,5,1,0,0,100
shelled,4,0,0,0,0,4
website/doc,0,1,0,0,0,1
automotive-package,2,0,0,0,0,2
collapsiblebuttons,3,0,1,0,0,4
e4,25,3,0,1,0,29
javame-package,19,1,1,0,0,21
swing,209,23,5,3,1,241
wizard,495,25,19,13,1,553
facet,83,8,0,0,0,91
scout,1500,132,30,4,1,1667
visualization,283,8,1,1,0,293
epfwiki,143,21,0,0,0,164
gefdot,53,4,1,2,0,60
rdt,663,90,15,4,1,773
warproducts,132,13,20,2,0,167
debugger,1337,133,43,10,1,1524
geflayout,14,1,0,0,0,15
isp,18,4,0,0,0,22
mpidevelopmenttools,2,0,0,0,0,2
lttng,102,7,1,6,3,119
