component,field,1,2,3,4,total
robotml,os,1,0,0,0,31
robotml,priority,0,0,0,0,31
robotml,hardware,1,0,0,0,31
robotml,version,0,0,0,0,31
robotml,component,1,0,0,0,31
robotml,severity,0,0,0,0,31
robotml,assignee,0,0,0,0,31
robotml,product,0,0,0,0,31
robotml,status,0,0,0,0,31
connectors,os,1,0,0,0,649
connectors,priority,0,0,0,0,649
connectors,hardware,1,0,0,0,649
connectors,version,6,0,0,0,649
connectors,component,2,0,0,0,649
connectors,severity,5,0,0,0,649
connectors,assignee,0,0,0,0,649
connectors,product,1,0,0,0,649
connectors,status,0,0,0,0,649
ide-rcp,os,0,0,0,0,6
ide-rcp,priority,1,0,0,0,6
ide-rcp,hardware,0,0,0,0,6
ide-rcp,version,0,0,0,0,6
ide-rcp,component,0,0,0,0,6
ide-rcp,severity,1,0,0,0,6
ide-rcp,assignee,0,0,0,0,6
ide-rcp,product,0,0,0,0,6
ide-rcp,status,0,0,0,0,6
hmi,os,1,0,0,0,23
hmi,priority,0,0,0,0,23
hmi,hardware,1,0,0,0,23
hmi,version,3,0,0,0,23
hmi,component,0,0,0,0,23
hmi,severity,1,0,0,0,23
hmi,assignee,0,0,0,0,23
hmi,product,0,0,0,0,23
hmi,status,0,0,0,0,23
linuxtools-package,os,0,0,0,0,26
linuxtools-package,priority,0,0,0,0,26
linuxtools-package,hardware,0,0,0,0,26
linuxtools-package,version,6,0,0,0,26
linuxtools-package,component,0,0,0,0,26
linuxtools-package,severity,0,0,0,0,26
linuxtools-package,assignee,0,0,0,0,26
linuxtools-package,product,0,0,0,0,26
linuxtools-package,status,0,0,0,0,26
plugins,os,22,1,0,0,320
plugins,priority,4,0,0,0,320
plugins,hardware,1,0,0,0,320
plugins,version,15,0,0,0,320
plugins,component,25,1,0,0,320
plugins,severity,8,1,1,0,320
plugins,assignee,0,0,0,0,320
plugins,product,2,0,0,0,320
plugins,status,0,0,0,0,320
cdo.releng,os,1,0,0,0,71
cdo.releng,priority,0,0,0,0,71
cdo.releng,hardware,1,0,0,0,71
cdo.releng,version,9,2,3,1,71
cdo.releng,component,5,0,0,0,71
cdo.releng,severity,4,1,0,0,71
cdo.releng,assignee,0,0,0,0,71
cdo.releng,product,0,0,0,0,71
cdo.releng,status,0,0,0,0,71
tablecombo,os,0,0,0,0,27
tablecombo,priority,0,0,0,0,27
tablecombo,hardware,0,0,0,0,27
tablecombo,version,1,0,0,0,27
tablecombo,component,0,0,0,0,27
tablecombo,severity,1,0,0,0,27
tablecombo,assignee,0,0,0,0,27
tablecombo,product,0,0,0,0,27
tablecombo,status,0,0,0,0,27
4diac-lib,os,0,0,0,0,8
4diac-lib,priority,0,0,0,0,8
4diac-lib,hardware,0,0,0,0,8
4diac-lib,version,0,0,0,0,8
4diac-lib,component,0,0,0,0,8
4diac-lib,severity,0,0,0,0,8
4diac-lib,assignee,0,0,0,0,8
4diac-lib,product,0,0,0,0,8
4diac-lib,status,0,0,0,0,8
ios,os,0,0,0,0,10
ios,priority,0,0,0,0,10
ios,hardware,0,0,0,0,10
ios,version,0,0,0,0,10
ios,component,0,0,0,0,10
ios,severity,2,0,0,0,10
ios,assignee,0,0,0,0,10
ios,product,0,0,0,0,10
ios,status,0,0,0,0,10
remote,os,2,0,0,0,58
remote,priority,0,0,0,0,58
remote,hardware,2,0,0,0,58
remote,version,2,0,0,0,58
remote,component,8,1,0,0,58
remote,severity,0,0,0,0,58
remote,assignee,0,0,0,0,58
remote,product,0,0,0,0,58
remote,status,0,0,0,0,58
moxy,os,8,0,0,0,900
moxy,priority,25,4,0,0,900
moxy,hardware,8,0,0,0,900
moxy,version,47,2,0,0,900
moxy,component,3,0,0,0,900
moxy,severity,57,0,0,0,900
moxy,assignee,0,0,0,0,900
moxy,product,0,0,0,0,900
moxy,status,0,0,0,0,900
reportdesigner,os,7,1,0,0,3888
reportdesigner,priority,87,11,3,1,3888
reportdesigner,hardware,3,0,0,0,3888
reportdesigner,version,58,2,0,0,3888
reportdesigner,component,66,2,0,0,3888
reportdesigner,severity,133,8,0,0,3888
reportdesigner,assignee,0,0,0,0,3888
reportdesigner,product,7,0,0,0,3888
reportdesigner,status,0,0,0,0,3888
dev,os,0,0,0,0,5
dev,priority,0,0,0,0,5
dev,hardware,0,0,0,0,5
dev,version,0,0,0,0,5
dev,component,1,0,0,0,5
dev,severity,0,0,0,0,5
dev,assignee,0,0,0,0,5
dev,product,0,0,0,0,5
dev,status,0,0,0,0,5
oseetestenvironment(ote),os,1,0,0,0,14
oseetestenvironment(ote),priority,0,0,0,0,14
oseetestenvironment(ote),hardware,1,0,0,0,14
oseetestenvironment(ote),version,1,0,0,0,14
oseetestenvironment(ote),component,0,0,0,0,14
oseetestenvironment(ote),severity,0,0,0,0,14
oseetestenvironment(ote),assignee,0,0,0,0,14
oseetestenvironment(ote),product,0,0,0,0,14
oseetestenvironment(ote),status,0,0,0,0,14
xml,os,1,0,0,0,96
xml,priority,13,2,2,2,96
xml,hardware,2,0,0,0,96
xml,version,3,0,0,0,96
xml,component,2,0,0,0,96
xml,severity,5,0,0,0,96
xml,assignee,0,0,0,0,96
xml,product,0,0,0,0,96
xml,status,0,0,0,0,96
sci,os,0,0,0,0,10
sci,priority,0,0,0,0,10
sci,hardware,0,0,0,0,10
sci,version,0,0,0,0,10
sci,component,0,0,0,0,10
sci,severity,0,0,0,0,10
sci,assignee,0,0,0,0,10
sci,product,0,0,0,0,10
sci,status,0,0,0,0,10
jstools,os,6,0,0,0,720
jstools,priority,20,0,1,0,720
jstools,hardware,6,0,0,0,720
jstools,version,5,0,0,0,720
jstools,component,13,0,0,0,720
jstools,severity,34,1,0,0,720
jstools,assignee,0,0,0,0,720
jstools,product,0,0,0,0,720
jstools,status,0,0,0,0,720
usagedatacollector,os,1,0,0,0,161
usagedatacollector,priority,13,0,0,0,161
usagedatacollector,hardware,0,0,0,0,161
usagedatacollector,version,3,0,0,0,161
usagedatacollector,component,7,0,0,0,161
usagedatacollector,severity,5,1,0,0,161
usagedatacollector,assignee,0,0,0,0,161
usagedatacollector,product,0,0,0,0,161
usagedatacollector,status,0,0,0,0,161
applicationtypes,os,0,0,0,0,2
applicationtypes,priority,0,0,0,0,2
applicationtypes,hardware,0,0,0,0,2
applicationtypes,version,0,0,0,0,2
applicationtypes,component,0,0,0,0,2
applicationtypes,severity,0,0,0,0,2
applicationtypes,assignee,0,0,0,0,2
applicationtypes,product,0,0,0,0,2
applicationtypes,status,0,0,0,0,2
cdt-source-nav,os,4,0,0,0,109
cdt-source-nav,priority,1,0,0,0,109
cdt-source-nav,hardware,1,0,0,0,109
cdt-source-nav,version,17,0,0,0,109
cdt-source-nav,component,14,0,0,0,109
cdt-source-nav,severity,2,0,0,0,109
cdt-source-nav,assignee,0,0,0,0,109
cdt-source-nav,product,2,0,0,0,109
cdt-source-nav,status,0,0,0,0,109
cda,os,2,0,0,0,11
cda,priority,0,0,0,0,11
cda,hardware,2,0,0,0,11
cda,version,0,0,0,0,11
cda,component,2,1,0,0,11
cda,severity,0,0,0,0,11
cda,assignee,0,0,0,0,11
cda,product,0,0,0,0,11
cda,status,0,0,0,0,11
4diac-ide,os,0,0,0,0,347
4diac-ide,priority,0,0,0,0,347
4diac-ide,hardware,0,0,0,0,347
4diac-ide,version,78,1,0,0,347
4diac-ide,component,1,0,0,0,347
4diac-ide,severity,2,0,0,0,347
4diac-ide,assignee,0,0,0,0,347
4diac-ide,product,0,0,0,0,347
4diac-ide,status,0,0,0,0,347
ecf.cola,os,0,0,0,0,43
ecf.cola,priority,0,0,0,0,43
ecf.cola,hardware,0,0,0,0,43
ecf.cola,version,2,0,0,0,43
ecf.cola,component,2,0,0,0,43
ecf.cola,severity,3,0,0,0,43
ecf.cola,assignee,0,0,0,0,43
ecf.cola,product,0,0,0,0,43
ecf.cola,status,0,0,0,0,43
eswt,os,7,0,0,0,487
eswt,priority,2,1,0,0,487
