component,0,1,2,3,4,total
accservice,596,2,1,0,0,599
ace,7,1,0,0,0,8
actiontrackingsystem(ats),131,5,7,3,0,146
addons,6,1,0,0,0,7
adl,3,0,1,0,0,4
admin,76,12,3,2,0,93
agent,958,80,21,3,0,1062
agf,3,1,1,0,0,5
agfchart,4,1,0,0,0,5
aggregator,94,5,1,0,0,100
ai,799,4,1,0,0,804
ajbrowser,33,3,1,0,0,37
ajdoc,60,7,0,0,0,67
am3,10,1,2,0,0,13
amf,45,8,1,3,0,57
amfui,31,2,3,2,0,38
aml,0,2,0,0,0,2
analysis,8,1,0,0,0,9
android,76,6,0,0,0,82
annotations,305,16,3,1,0,325
ant,3204,605,109,23,3,3944
apitools,1043,196,48,36,9,1332
applicationdevelopment,6,1,0,2,0,9
applicationtypes,2,0,0,0,0,2
apt,480,62,6,0,1,549
arduino,166,19,0,2,0,187
artifactrepository,35,2,3,1,0,41
automatederrorreportingclient(aeri),831,24,33,39,41,968
autotools,165,4,0,38,0,207
axf,5,2,1,0,0,8
backchannel,2,0,0,0,0,2
backend,60,17,1,1,0,79
backlog,146,38,26,16,10,236
base,6,1,0,0,0,7
bidilayout,2,0,0,0,0,2
blam,2,1,0,0,0,3
bootstrapper,54,0,0,0,0,54
branches,15,0,0,2,0,17
browserbasedmodeler,69,11,1,0,0,81
browsertooling,47,18,0,0,0,65
buckminster,4,1,0,0,0,5
bugzilla,2093,351,82,9,3,2538
build,5313,655,105,25,11,6109
builder,73,2,8,1,1,85
buildhelp,64,5,1,0,0,70
buildsystem,142,6,10,1,0,159
bundles,565,32,12,1,0,610
bundlor,8,8,0,1,0,17
c,0,0,0,0,0,0
calendarcombo,74,2,1,1,0,78
californium,52,3,2,1,0,58
camelintegration,4,1,0,0,0,5
cbip2repositoryaggregator,457,15,89,15,7,583
cda,7,2,0,0,2,11
cdatetime,114,12,3,1,0,130
cdi,193,91,9,0,0,293
cell,6,1,1,0,0,8
cep,33,11,2,1,0,47
cgeneration,11,2,1,0,0,14
chart,1561,317,35,7,1,1921
client,4129,245,244,117,8,4743
clientcore,182,18,6,1,0,207
clientui,97,10,2,2,0,111
codan,265,46,10,3,0,324
codeassist,2729,246,78,17,2,3072
codefolding,208,19,9,1,0,237
codeformatter,531,48,15,6,1,601
codegen,2,0,0,0,0,2
codegenerators,49,7,3,2,0,61
codesearch,16,1,2,1,0,20
