component,field,1,2,3,4,total
accservice,assignee,0,0,0,0,599
accservice,component,0,0,0,0,599
accservice,hardware,1,0,0,0,599
accservice,os,0,0,0,0,599
accservice,priority,0,0,0,0,599
accservice,product,0,0,0,0,599
accservice,severity,0,0,0,0,599
accservice,status,0,0,0,0,599
accservice,version,1,0,0,0,599
accservice 요약,,2,0,0,0,5391
ace,assignee,0,0,0,0,8
ace,component,0,0,0,0,8
ace,hardware,0,0,0,0,8
ace,os,0,0,0,0,8
ace,priority,0,0,0,0,8
ace,product,0,0,0,0,8
ace,severity,0,0,0,0,8
ace,status,0,0,0,0,8
ace,version,0,1,0,0,8
ace 요약,,0,1,0,0,72
actiontrackingsystem(ats),assignee,0,0,0,0,146
actiontrackingsystem(ats),component,0,0,0,0,146
actiontrackingsystem(ats),hardware,10,0,0,0,146
actiontrackingsystem(ats),os,10,0,0,0,146
actiontrackingsystem(ats),priority,0,0,0,0,146
actiontrackingsystem(ats),product,0,0,0,0,146
actiontrackingsystem(ats),severity,2,0,0,0,146
actiontrackingsystem(ats),status,0,0,0,0,146
actiontrackingsystem(ats),version,4,0,0,0,146
actiontrackingsystem(ats) 요약,,26,0,0,0,1314
addons,assignee,0,0,0,0,7
addons,component,0,0,0,0,7
addons,hardware,0,0,0,0,7
addons,os,0,0,0,0,7
addons,priority,0,0,0,0,7
addons,product,0,0,0,0,7
addons,severity,0,0,0,0,7
addons,status,0,0,0,0,7
addons,version,1,0,0,0,7
addons 요약,,1,0,0,0,63
adl,assignee,0,0,0,0,4
adl,component,0,0,0,0,4
adl,hardware,1,0,0,0,4
adl,os,1,0,0,0,4
adl,priority,0,0,0,0,4
adl,product,0,0,0,0,4
adl,severity,0,0,0,0,4
adl,status,0,0,0,0,4
adl,version,0,0,0,0,4
adl 요약,,2,0,0,0,36
admin,assignee,0,0,0,0,93
admin,component,3,0,0,0,93
admin,hardware,1,0,0,0,93
admin,os,1,0,0,0,93
admin,priority,0,0,0,0,93
admin,product,0,0,0,0,93
admin,severity,13,0,0,0,93
admin,status,0,0,0,0,93
admin,version,2,0,0,0,93
admin 요약,,20,0,0,0,837
agent,assignee,0,0,0,0,1062
agent,component,1,0,0,0,1062
agent,hardware,7,0,0,0,1062
agent,os,8,0,0,0,1062
agent,priority,44,10,2,1,1062
agent,product,0,0,0,0,1062
agent,severity,28,1,0,0,1062
agent,status,0,0,0,0,1062
agent,version,5,0,0,0,1062
agent 요약,,93,11,2,1,9558
agf,assignee,0,0,0,0,5
agf,component,0,0,0,0,5
agf,hardware,1,0,0,0,5
agf,os,1,0,0,0,5
agf,priority,0,0,0,0,5
agf,product,0,0,0,0,5
agf,severity,1,0,0,0,5
agf,status,0,0,0,0,5
agf,version,0,0,0,0,5
agf 요약,,3,0,0,0,45
agfchart,assignee,0,0,0,0,5
agfchart,component,0,0,0,0,5
agfchart,hardware,0,0,0,0,5
agfchart,os,0,0,0,0,5
agfchart,priority,0,0,0,0,5
agfchart,product,0,0,0,0,5
agfchart,severity,0,0,0,0,5
agfchart,status,0,0,0,0,5
agfchart,version,1,0,0,0,5
agfchart 요약,,1,0,0,0,45
aggregator,assignee,0,0,0,0,100
aggregator,component,1,0,0,0,100
aggregator,hardware,0,0,0,0,100
aggregator,os,0,0,0,0,100
aggregator,priority,0,0,0,0,100
aggregator,product,0,0,0,0,100
aggregator,severity,3,0,0,0,100
aggregator,status,0,0,0,0,100
aggregator,version,0,0,0,0,100
aggregator 요약,,4,0,0,0,900
ai,assignee,0,0,0,0,804
ai,component,0,0,0,0,804
ai,hardware,0,0,0,0,804
ai,os,1,0,0,0,804
ai,priority,0,0,0,0,804
ai,product,0,0,0,0,804
ai,severity,3,0,0,0,804
ai,status,0,0,0,0,804
ai,version,1,0,0,0,804
ai 요약,,5,0,0,0,7236
ajbrowser,assignee,0,0,0,0,37
ajbrowser,component,0,0,0,0,37
ajbrowser,hardware,0,0,0,0,37
ajbrowser,os,0,0,0,0,37
ajbrowser,priority,3,0,0,0,37
ajbrowser,product,0,0,0,0,37
ajbrowser,severity,1,0,0,0,37
ajbrowser,status,0,0,0,0,37
ajbrowser,version,0,0,0,0,37
ajbrowser 요약,,4,0,0,0,333
ajdoc,assignee,0,0,0,0,67
ajdoc,component,0,0,0,0,67
ajdoc,hardware,0,0,0,0,67
ajdoc,os,0,0,0,0,67
ajdoc,priority,1,0,0,0,67
ajdoc,product,0,0,0,0,67
ajdoc,severity,2,0,0,0,67
ajdoc,status,0,0,0,0,67
ajdoc,version,2,0,0,0,67
ajdoc 요약,,5,0,0,0,603
am3,assignee,0,0,0,0,13
am3,component,3,0,0,0,13
am3,hardware,0,0,0,0,13
am3,os,0,0,0,0,13
am3,priority,0,0,0,0,13
am3,product,2,0,0,0,13
am3,severity,0,0,0,0,13
am3,status,0,0,0,0,13
am3,version,0,0,0,0,13
am3 요약,,5,0,0,0,117
amf,assignee,0,0,0,0,57
amf,component,1,0,0,0,57
amf,hardware,3,0,0,0,57
amf,os,3,0,0,0,57
amf,priority,3,0,0,0,57
amf,product,0,0,0,0,57
amf,severity,5,0,0,0,57
amf,status,0,0,0,0,57
amf,version,3,1,0,0,57
amf 요약,,18,1,0,0,513
amfui,assignee,0,0,0,0,38
amfui,component,1,0,0,0,38
amfui,hardware,2,0,0,0,38
amfui,os,2,0,0,0,38
amfui,priority,1,1,1,0,38
amfui,product,0,0,0,0,38
amfui,severity,1,1,0,0,38
amfui,status,0,0,0,0,38
amfui,version,4,0,0,0,38
amfui 요약,,11,2,1,0,342
aml,assignee,0,0,0,0,2
aml,component,2,0,0,0,2
aml,hardware,0,0,0,0,2
aml,os,0,0,0,0,2
aml,priority,0,0,0,0,2
aml,product,0,0,0,0,2
aml,severity,0,0,0,0,2
aml,status,0,0,0,0,2
aml,version,0,0,0,0,2
