domain,project,BEASS2_ID
modeling,graphiti,423884
modeling,graphiti,329698
modeling,graphiti,434658
modeling,graphiti,323034
modeling,graphiti,378341
modeling,graphiti,378342
modeling,graphiti,413139
modeling,graphiti,330218
modeling,graphiti,425957
modeling,graphiti,357869
modeling,graphiti,380400
modeling,graphiti,433650
modeling,graphiti,498164
modeling,graphiti,327669
modeling,graphiti,330230
modeling,graphiti,357878
modeling,graphiti,359928
modeling,graphiti,396793
modeling,graphiti,330746
modeling,graphiti,351226
modeling,graphiti,368124
modeling,graphiti,381437
modeling,graphiti,411129
modeling,graphiti,337920
modeling,graphiti,397303
modeling,graphiti,347138
modeling,graphiti,364035
modeling,graphiti,371717
modeling,graphiti,347144
modeling,graphiti,462856
modeling,graphiti,424458
modeling,graphiti,438795
modeling,graphiti,477132
modeling,graphiti,377871
modeling,graphiti,372753
modeling,graphiti,368146
modeling,graphiti,355347
modeling,graphiti,430609
modeling,graphiti,372757
modeling,graphiti,380439
modeling,graphiti,331290
modeling,graphiti,348187
modeling,graphiti,356893
modeling,graphiti,371226
modeling,graphiti,397346
modeling,graphiti,357411
modeling,graphiti,428068
modeling,graphiti,375334
modeling,graphiti,357417
modeling,graphiti,432681
modeling,graphiti,499720
modeling,graphiti,431651
modeling,graphiti,467502
modeling,graphiti,394801
modeling,graphiti,373298
modeling,graphiti,373299
modeling,graphiti,385586
modeling,graphiti,401976
modeling,graphiti,467002
modeling,graphiti,466961
modeling,graphiti,334402
modeling,graphiti,339525
modeling,graphiti,366149
modeling,graphiti,332360
modeling,graphiti,355401
modeling,graphiti,326730
modeling,graphiti,326731
modeling,graphiti,352332
modeling,graphiti,326733
modeling,graphiti,332363
modeling,graphiti,323151
modeling,graphiti,379471
modeling,graphiti,377419
modeling,graphiti,327756
modeling,graphiti,323155
modeling,graphiti,323156
modeling,graphiti,394315
modeling,graphiti,430160
modeling,graphiti,422984
modeling,graphiti,388174
modeling,graphiti,369241
modeling,graphiti,424020
modeling,graphiti,364124
modeling,graphiti,325725
modeling,graphiti,364126
modeling,graphiti,430687
modeling,graphiti,396893
modeling,graphiti,402528
modeling,graphiti,430158
modeling,graphiti,348772
modeling,graphiti,367204
modeling,graphiti,359526
modeling,graphiti,336488
modeling,graphiti,374376
modeling,graphiti,341098
modeling,graphiti,352875
modeling,graphiti,435280
modeling,graphiti,352874
modeling,graphiti,350830
modeling,graphiti,380526
modeling,graphiti,423018
modeling,graphiti,365169
modeling,graphiti,321650
modeling,graphiti,375922
modeling,graphiti,365172
modeling,graphiti,433269
modeling,graphiti,388214
modeling,graphiti,442482
modeling,graphiti,377465
modeling,graphiti,320635
modeling,graphiti,388220
modeling,graphiti,436348
modeling,graphiti,347262
modeling,graphiti,396414
modeling,graphiti,355968
modeling,graphiti,388225
modeling,graphiti,414850
modeling,graphiti,336516
modeling,graphiti,323718
modeling,graphiti,374918
modeling,graphiti,436844
modeling,graphiti,440969
modeling,graphiti,342666
modeling,graphiti,342667
modeling,graphiti,339087
modeling,graphiti,347280
modeling,graphiti,377489
modeling,graphiti,340115
modeling,graphiti,340627
modeling,graphiti,423573
modeling,graphiti,442483
modeling,graphiti,472219
modeling,graphiti,363677
modeling,graphiti,362658
modeling,graphiti,400547
modeling,graphiti,403622
modeling,graphiti,357549
modeling,graphiti,417454
modeling,graphiti,437933
modeling,graphiti,326837
modeling,graphiti,412858
modeling,graphiti,390331
modeling,graphiti,464571
modeling,graphiti,451269
modeling,graphiti,460485
modeling,graphiti,460486
modeling,graphiti,370888
modeling,graphiti,376008
modeling,graphiti,481994
modeling,graphiti,359112
modeling,graphiti,336075
modeling,graphiti,332491
modeling,graphiti,405710
modeling,graphiti,403664
modeling,graphiti,355027
modeling,graphiti,361684
modeling,graphiti,347349
modeling,graphiti,397525
modeling,graphiti,360151
modeling,graphiti,405717
modeling,graphiti,369370
modeling,graphiti,376544
modeling,graphiti,326369
modeling,graphiti,458465
modeling,graphiti,378083
modeling,graphiti,328933
modeling,graphiti,342245
modeling,graphiti,364774
modeling,graphiti,340712
modeling,graphiti,341224
modeling,graphiti,390887
modeling,graphiti,348389
modeling,graphiti,375533
modeling,graphiti,486637
modeling,graphiti,322799
modeling,graphiti,388335
modeling,graphiti,339185
modeling,graphiti,344819
modeling,graphiti,414437
modeling,graphiti,342262
modeling,graphiti,336121
modeling,graphiti,356090
modeling,graphiti,381178
modeling,graphiti,326396
modeling,graphiti,336124
modeling,graphiti,336126
modeling,graphiti,347903
modeling,graphiti,357632
modeling,graphiti,381179
modeling,graphiti,349439
modeling,graphiti,389379
modeling,graphiti,438529
modeling,graphiti,361736
modeling,graphiti,376585
modeling,graphiti,465675
modeling,graphiti,345870
modeling,graphiti,384271
modeling,graphiti,363796
modeling,graphiti,323349
modeling,graphiti,383765
modeling,graphiti,323351
modeling,graphiti,323352
modeling,graphiti,383768
modeling,graphiti,323354
modeling,graphiti,323355
modeling,graphiti,323356
modeling,graphiti,364311
modeling,graphiti,323358
modeling,graphiti,323359
modeling,graphiti,323360
modeling,graphiti,323361
modeling,graphiti,323363
modeling,graphiti,387354
modeling,graphiti,425750
modeling,graphiti,371491
modeling,graphiti,347421
modeling,graphiti,323368
modeling,graphiti,323369
modeling,graphiti,416039
modeling,graphiti,365335
modeling,graphiti,329517
modeling,graphiti,329519
modeling,graphiti,402681
modeling,graphiti,329522
modeling,graphiti,329523
modeling,graphiti,346932
modeling,graphiti,359221
modeling,graphiti,359222
modeling,graphiti,389426
modeling,graphiti,473395
modeling,graphiti,359227
modeling,graphiti,332604
modeling,graphiti,365338
modeling,graphiti,398130
modeling,graphiti,405314
modeling,graphiti,420161
modeling,graphiti,431941
modeling,graphiti,450884
modeling,graphiti,403272
modeling,graphiti,455956
modeling,graphiti,441676
modeling,graphiti,416589
modeling,graphiti,433998
modeling,graphiti,450383
modeling,graphiti,326993
modeling,graphiti,375122
modeling,graphiti,427346
modeling,graphiti,361300
modeling,graphiti,342869
modeling,graphiti,407894
modeling,graphiti,481619
modeling,graphiti,342874
modeling,graphiti,360800
modeling,graphiti,352104
modeling,graphiti,340842
modeling,graphiti,358255
modeling,graphiti,393074
modeling,graphiti,366452
modeling,graphiti,418676
modeling,graphiti,346487
modeling,graphiti,356218
modeling,graphiti,367483
modeling,graphiti,369020
modeling,graphiti,403837
modeling,graphiti,401792
modeling,graphiti,387971
modeling,graphiti,421754
modeling,graphiti,337798
modeling,graphiti,397702
modeling,graphiti,368520
modeling,graphiti,391046
modeling,graphiti,376714
modeling,graphiti,398730
modeling,graphiti,379788
modeling,graphiti,469392
modeling,graphiti,406929
