domain,project,ID,type,time,num
modeling,graphiti,342874,Y,1,206
modeling,graphiti,384330,N,0,206
modeling,graphiti,417577,N,0,206
modeling,graphiti,322791,N,0,206
modeling,graphiti,394801,Y,1,206
modeling,graphiti,403109,N,1,206
modeling,graphiti,460486,N,0,206
modeling,graphiti,334402,N,159,206
modeling,graphiti,460486,Y,0,206
modeling,graphiti,370457,N,0,206
modeling,graphiti,334402,Y,159,206
modeling,graphiti,423573,N,80,206
modeling,graphiti,365172,N,310,206
modeling,graphiti,323155,N,204,206
modeling,graphiti,385586,N,27,206
modeling,graphiti,430609,N,37,206
modeling,graphiti,423573,Y,80,206
modeling,graphiti,365172,Y,310,206
modeling,graphiti,323155,Y,204,206
modeling,graphiti,385586,Y,27,206
modeling,graphiti,361638,N,17,206
modeling,graphiti,385190,N,38,206
modeling,graphiti,367204,N,9,206
modeling,graphiti,412838,N,7,206
modeling,graphiti,397346,N,18,206
modeling,graphiti,430609,Y,37,206
modeling,graphiti,382845,N,65,206
modeling,graphiti,435515,N,0,206
modeling,graphiti,323354,N,358,206
modeling,graphiti,336121,N,104,206
modeling,graphiti,367204,Y,9,206
modeling,graphiti,397346,Y,18,206
modeling,graphiti,388213,N,1,206
modeling,graphiti,392309,N,35,206
modeling,graphiti,373299,N,217,206
modeling,graphiti,368146,N,9,206
modeling,graphiti,382928,N,73,206
modeling,graphiti,323354,Y,358,206
modeling,graphiti,336121,Y,104,206
modeling,graphiti,352109,N,104,206
modeling,graphiti,433269,N,121,206
modeling,graphiti,433269,Y,121,206
modeling,graphiti,359112,N,2,206
modeling,graphiti,368146,Y,9,206
modeling,graphiti,323718,N,1,206
modeling,graphiti,370888,N,304,206
modeling,graphiti,357411,N,1,206
modeling,graphiti,373299,Y,217,206
modeling,graphiti,470150,N,0,206
modeling,graphiti,434458,N,6,206
modeling,graphiti,359112,Y,2,206
modeling,graphiti,332604,N,47,206
modeling,graphiti,323718,Y,1,206
modeling,graphiti,370888,Y,304,206
modeling,graphiti,396026,N,32,206
modeling,graphiti,345272,N,1,206
modeling,graphiti,352440,N,113,206
modeling,graphiti,363093,N,0,206
modeling,graphiti,355347,N,15,206
modeling,graphiti,357411,Y,1,206
modeling,graphiti,332604,Y,47,206
modeling,graphiti,363539,N,1,206
modeling,graphiti,433650,N,25,206
modeling,graphiti,351053,N,21,206
modeling,graphiti,322348,N,0,206
modeling,graphiti,361739,N,0,206
modeling,graphiti,414954,N,14,206
modeling,graphiti,355347,Y,15,206
modeling,graphiti,403112,N,1,206
modeling,graphiti,359526,N,4,206
modeling,graphiti,428068,N,22,206
modeling,graphiti,364035,N,5,206
modeling,graphiti,434658,N,130,206
modeling,graphiti,433650,Y,25,206
modeling,graphiti,332704,N,0,206
modeling,graphiti,405920,N,28,206
modeling,graphiti,323356,N,1102,206
modeling,graphiti,324859,N,215,206
modeling,graphiti,359526,Y,4,206
modeling,graphiti,428068,Y,22,206
modeling,graphiti,364035,Y,5,206
modeling,graphiti,434658,Y,130,206
