domain,project,BEASS2_num,HISTORY_num,META_num,ori_num
modeling,graphiti,332,598,461,598
iot,californium,5,49,47,66
technology,m2e,178,1493,1459,1604
modeling,ocl,114,1312,1263,1739
modeling,mdt.rmf,99,325,295,347
technology,dltk,314,918,750,1121
technology,gef3d,5,77,74,120
soa,stardust,62,490,472,538
tools,damos,0,0,0,6
rt,vertx,57,350,339,394
modeling,mdt.modisco,456,949,726,984
technology,actf,61,999,995,1013
modeling,acceleo,131,849,828,898
technology,lsp4j,0,1,0,1
eclipse,pde,1706,14344,13340,15737
technology,lsp4e,25,46,27,60
iot,vorto,42,156,156,157
rt,rap,1371,4845,4500,5011
modeling,mdt.bpmn2,4,35,34,62
modeling,sphinx,65,428,379,463
rt,gemini.naming,5,24,22,26
technology,lyo,77,838,795,881
modeling,emft,93,489,452,604
technology,rtsc,174,1185,851,1229
ecd,orion,853,9487,9351,9557
tools,pdt,1441,5069,4844,5440
technology,nebula,140,849,724,1118
tools,ldt,133,372,325,381
technology,tm4e,1,1,0,1
technology,ease,128,381,353,454
modeling,emfcompare,154,1018,953,1095
technology,tigerstripe,89,1123,1104,1147
modeling,emfstore,81,500,477,528
rt,riena,165,905,842,998
technology,flux,3,37,27,61
modeling,qvto,44,812,762,967
science,ice,7,232,197,327
tools,windowbuilder,76,455,359,501
tools,pdt.incubator,0,1,1,1
modeling,qvtd,90,171,141,262
modeling,pmf,0,12,4,31
science,eavp,0,2,2,4
iot,risev2g,0,0,0,1
modeling,tmf,1013,4552,4291,5272
tools,andmore,3,80,55,114
soa,jwt,162,388,339,408
modeling,mmt,31,42,42,42
tools,mat,20,419,387,461
modeling,papyrus,1642,8590,6944,9634
soa,mangrove,3,10,8,13
modeling,mdt.xsd,77,395,380,404
rt,eclipselink,2197,6915,5763,7952
technology,xwt,243,338,277,352
modeling,viatra,186,999,913,1037
technology,egit,607,3168,2827,4085
technology,eclemma,2,18,14,20
technology,mdmbl,0,1,0,2
modeling,emft.henshin,3,62,59,90
soa,bpmn2modeler,63,647,615,705
modeling,eatop,2,21,18,34
rt,smila,39,212,210,216
iot,krikkit,0,4,4,6
modeling,emft.doc2model,0,1,1,1
modeling,efm,2,10,9,23
technology,nattable,43,709,686,743
technology,subversive,183,2470,2429,2591
rt,gemini,1,1,0,5
technology,jgit,183,763,654,991
technology,rcptt,20,142,119,254
webtools,libra,41,131,110,152
modeling,gendoc,9,82,61,106
modeling,mdt,37,102,101,114
modeling,emf,1718,7834,7300,8029
rt,ebr,0,4,3,6
technology,vtp,40,218,201,259
rt,gyrex,15,146,114,157
tools,cdt,3516,16798,14823,19331
modeling,amp,32,142,105,171
technology,rtp,1,69,65,77
modeling,eef,251,309,284,330
modeling,emft.b3,22,107,90,140
modeling,capra,9,26,9,46
rt,gemini.jpa,29,106,101,126
technology,sisu,20,116,96,130
tools,orbit,43,950,878,1033
tools,titan,4,169,158,183
technology,sapphire,74,1147,1085,1189
tools,gef,476,2720,2528,2950
tools,oomph,459,1420,1260,1438
technology,scout,181,1730,1648,1912
rt,ecf,276,1847,1792,1944
technology,nebula.incubator,0,1,1,1
technology,babel,63,597,565,653
rt,gemini.dbaccess,0,15,15,19
science,dawnsci,0,0,0,1
technology,mpc,62,544,518,596
ecd,che,1,14,12,22
iot,kapua,0,1,1,1
technology,efxclipse,77,870,834,1092
tools,tracecompass,84,347,259,500
technology,epf,381,2906,2704,3064
soa,ebpm,0,0,0,2
rt,apricot,1,11,11,14
technology,osee,68,314,268,355
modeling,emf.parsley,8,132,132,142
technology,handly,1,140,140,142
technology,recommenders.incubator,47,196,183,225
eclipse,jdt,6163,53659,46481,55279
mylyn,mylyn,2560,8369,7551,8422
iot,wakaama,0,3,3,10
tools,atf,68,422,384,493
modeling,elk,0,2,2,3
tools,aspectj,694,2473,2199,2884
modeling,modeling,27,192,170,217
modeling,emft.refactor,2,10,3,20
soa,bpel,21,342,310,376
technology,egerrit,52,330,302,394
technology,dash,16,150,136,199
technology,swtbot,188,422,397,524
tools,tools,1,8,7,9
technology,app4mc,1,47,46,47
rt,equinox,1241,11952,10659,13046
modeling,m2t,183,948,868,1059
technology,tycho,365,936,791,1060
iot,scada,25,85,59,101
tools,thym,23,99,80,130
tools,mtj,226,719,689,744
modeling,mdht,6,17,9,29
soa,score,0,0,0,1
modeling,edapt,39,120,100,125
technology,jubula,525,1883,1760,2030
technology,usssdk,3,6,2,7
modeling,emf.egf,12,178,132,191
rt,ercp,72,557,530,595
modeling,fmc,0,1,1,9
modeling,amalgam,5,97,90,124
iot,ponte,0,1,1,4
technology,microprofile,0,0,0,3
iot,tinydtls,1,7,2,7
tools,ajdt,216,1367,1290,1465
technology,ogee,5,30,28,33
tools,buildship,113,390,333,390
modeling,ecoretools,44,269,239,293
iot,kura,2,28,27,46
modeling,mmt.atl,11,218,206,271
webtools,jsdt,469,2183,1926,2439
modeling,sirius,307,1348,1004,1595
technology,epp,321,1359,1201,1558
technology,hudson,193,930,659,1423
science,chemclipse,2,12,9,22
modeling,ecp,756,1594,1406,1615
technology,camf,0,5,4,12
iot,4diac,90,236,188,302
tools,xtend,485,1925,1638,2297
technology,recommenders,143,1088,1019,1206
technology,stem,21,430,395,437
eclipse,e4,256,3006,2834,3478
technology,woolsey,2,32,31,50
tools,tcf,187,1038,1007,1144
technology,remus,2,47,46,61
modeling,epsilon,124,480,420,535
eclipse,platform,12749,106210,92678,110606
modeling,emft.facet,354,804,601,828
tools,ptp,569,2536,2383,2732
iot,paho,8,115,99,143
modeling,etrice,65,467,418,541
science,triquetrum,0,1,1,1
birt,birt,1789,22411,21060,23056
modeling,upr,0,2,1,3
modeling,mdt.uml2,178,937,894,960
tools,objectteams,29,624,558,664
rt,virgo,228,1431,1317,1580
iot,mihini,51,121,121,121
technology,uomo,18,44,24,48
eclipse,incubator,3,33,24,48
technology,cbi,163,575,449,613
ecd,cft,1,105,99,131
modeling,gmp,55,239,237,245
iot,om2m,2,41,32,44
tools,buckminster,185,1107,1071,1261
modeling,umlgen,19,81,71,88
rt,gemini.blueprint,19,82,75,87
rt,gemini.management,7,47,47,49
rt,jetty,261,3766,3769,3770
technology,mdmweb,5,24,12,28
modeling,emf.diffmerge,5,141,133,152
ecd,dirigible,122,292,230,320
rt,gemini.web,61,214,211,217
technology,skalli,16,150,136,177
