domain,assignee,cnt
rt,glynnormington,3
rt,scottlewis,2
rt,matbooth,2
rt,thomaswatson,2
rt,chrisfrost,2
rt,stefanliebig,2
rt,stevepowell,2
rt,chrisaniszczyk,2
rt,benjaminmuskalla,2
rt,lazarkirchev,2
rt,steffenpingel,2
rt,violetageorgieva,2
rt,jeffmcaffer,2
rt,janoveweichel,1
rt,peterwissel,1
rt,danilaermakov,1
rt,aldoeisma,1
rt,mattlavin,1
rt,simonarcher,1
rt,thirumalareddymutchukota,1
rt,jessemcconnell,1
rt,miteshmeswani,1
rt,j체rgenbecker,1
rt,pavelsamolisov,1
rt,davidwilliams,1
rt,davidtwelves,1
rt,jakubjurkiewicz,1
rt,mattmacivor,1
rt,phpui,1
rt,andrewoverholt,1
rt,sabineheider,1
rt,snjezanapeco,1
rt,florianwaibel,1
rt,rafaelchaves,1
rt,gorkemercan,1
rt,juergenschumacher,1
rt,thanhha,1
rt,colemarkham,1
rt,steffenkriese,1
rt,grantgayed,1
rt,nirajmodi,1
rt,henrichkraemer,1
rt,userunknown,1
rt,remysuen,1
rt,allangodding,1
rt,rolandgrunberg,1
rt,jamessutherland,1
rt,arnaudmergey,1
rt,frankappel,1
rt,tedhabeck,1
rt,bensonwong,1
rt,angelozerr,1
rt,peterkrogh,1
rt,r체digerherrmann,1
rt,hamdanmsheik,1
rt,ferencboldog,1
rt,stefanr철ck,1
rt,romangrigoriadi,1
rt,davidkral,1
rt,jussisuistomaa,1
rt,kevinyuan,1
rt,pascalfilion,1
rt,lukasjungmann,1
rt,ericwli,1
rt,gianmariaromanato,1
rt,davestevenson,1
rt,bogdangheorghe,1
rt,vikrambhatia,1
rt,nickedgar,1
rt,michaelobrien,1
rt,erxiangliu,1
rt,andreasfischbach,1
rt,mikenorman,1
rt,sravankumarlakkimsetti,1
rt,jamessugrue,1
rt,tobiasoberlies,1
rt,kristenbalhoff,1
rt,ianbull,1
rt,kevinbarnes,1
rt,fredericphilippe,1
rt,markuskeller,1
rt,ivanchurkin,1
rt,olegbesedin,1
rt,peternehrer,1
rt,shirleyboulay,1
rt,andriyzhdanov,1
rt,willdazey,1
rt,francescoguidieri,1
rt,rolandfru,1
rt,mickaelistria,1
rt,andreasweber,1
rt,christophschwering,1
rt,samrauch,1
rt,michaelcheng,1
rt,gunnarwagenknecht,1
rt,milesparker,1
rt,erkkilindpere,1
rt,davidweiser,1
rt,andreassewe,1
rt,wimjongman,1
rt,dmitrykornilov,1
rt,gulonural,1
rt,davidmccann,1
rt,austinriddle,1
