domain,project,prev,cnt,bool,number
modeling,graphiti,gmp,7,1,598
modeling,graphiti,babel,3,1,598
modeling,graphiti,dalijpatools,2,1,598
modeling,graphiti,graphiti,1,1,598
modeling,graphiti,actf,1,1,598
modeling,graphiti,mdt,1,1,598
modeling,graphiti,recommenders.incubator,1,1,598
technology,m2e,platform,24,0,1604
technology,m2e,jdt,22,0,1604
technology,m2e,actf,5,1,1604
technology,m2e,mpc,3,1,1604
technology,m2e,m2e,3,1,1604
technology,m2e,pde,3,1,1604
technology,m2e,epp,2,1,1604
technology,m2e,tycho,2,1,1604
technology,m2e,egit,2,1,1604
technology,m2e,community,1,1,1604
technology,m2e,subversive,1,1,1604
technology,m2e,tmf,1,1,1604
technology,m2e,acceleo,1,1,1604
technology,m2e,mylyn,1,1,1604
technology,m2e,modeling,1,1,1604
technology,m2e,4diac,1,1,1604
technology,m2e,recommenders.incubator,1,1,1604
technology,m2e,m2e,1,1,1604
modeling,ocl,emf,9,1,1739
modeling,ocl,mmt.qvtd,8,1,1739
modeling,ocl,emft,6,1,1739
modeling,ocl,tmf,4,1,1739
modeling,ocl,mdt,4,1,1739
modeling,ocl,qvtd,3,1,1739
modeling,ocl,acceleo,2,1,1739
modeling,ocl,mdt.papyrus,1,1,1739
modeling,ocl,xsd,1,1,1739
modeling,ocl,m2t,1,1,1739
modeling,ocl,targetmanagement,1,1,1739
modeling,ocl,actf,1,1,1739
modeling,ocl,papyrus,1,1,1739
modeling,ocl,modeling,1,1,1739
modeling,ocl,mmt.qvto,1,1,1739
modeling,ocl,4diac,1,1,1739
modeling,ocl,recommenders.incubator,1,1,1739
modeling,ocl,qvto,1,1,1739
technology,dltk,pdt,15,0,1121
technology,dltk,platform,7,0,1121
technology,dltk,actf,4,1,1121
technology,dltk,community,3,1,1121
technology,dltk,jdt,3,1,1121
technology,dltk,pde,1,1,1121
technology,dltk,epp,1,1,1121
technology,dltk,mylyn,1,1,1121
technology,dltk,wtpsourceediting,1,1,1121
technology,dltk,mylyncontext,1,1,1121
technology,gef3d,gef3d,1,1,120
modeling,mdt.modisco,mdt,2,1,984
modeling,mdt.modisco,e4,1,1,984
modeling,mdt.modisco,emft.facet,1,1,984
technology,actf,platform,1,0,1013
technology,actf,actf,1,1,1013
modeling,acceleo,sirius,6,1,898
modeling,acceleo,platform,1,1,898
modeling,acceleo,recommenders.incubator,1,1,898
modeling,acceleo,mdt.ocl,1,1,898
eclipse,pde,platform,550,1,15737
eclipse,pde,jdt,174,1,15737
eclipse,pde,equinox,99,1,15737
eclipse,pde,pde,94,1,15737
eclipse,pde,recommenders.incubator,14,1,15737
eclipse,pde,e4,11,1,15737
eclipse,pde,babel,9,1,15737
eclipse,pde,community,7,1,15737
eclipse,pde,webtools,3,1,15737
eclipse,pde,cdt,3,1,15737
eclipse,pde,emf,3,1,15737
eclipse,pde,wtpsourceediting,2,1,15737
eclipse,pde,tmf,2,1,15737
eclipse,pde,incubator,1,1,15737
eclipse,pde,rap,1,1,15737
eclipse,pde,actf,1,1,15737
eclipse,pde,epp,1,1,15737
eclipse,pde,orbit,1,1,15737
eclipse,pde,examples,1,1,15737
eclipse,pde,mylar,1,1,15737
eclipse,pde,dashathena,1,1,15737
eclipse,pde,mylyncommons,1,1,15737
eclipse,pde,tptp,1,1,15737
eclipse,pde,tptptesting,1,1,15737
eclipse,pde,dsdp,1,1,15737
eclipse,pde,swtbot,1,1,15737
eclipse,pde,uml2,1,1,15737
eclipse,pde,pdt,1,1,15737
rt,rap,pde,2,0,5011
rt,rap,riena,2,1,5011
rt,rap,actf,2,1,5011
rt,rap,platform,2,1,5011
rt,rap,equinox,2,1,5011
rt,rap,rap,2,1,5011
rt,rap,atf,1,1,5011
rt,rap,subversive,1,1,5011
rt,rap,babel,1,1,5011
rt,rap,nebula,1,1,5011
modeling,sphinx,actf,1,0,463
rt,gemini.naming,gemini.naming,2,1,26
rt,gemini.naming,gemini,1,1,26
modeling,emft,emf,11,1,604
modeling,emft,m2t,6,1,604
modeling,emft,actf,3,1,604
modeling,emft,platform,2,1,604
modeling,emft,tmf,2,1,604
modeling,emft,modeling,1,1,604
modeling,emft,jdt,1,1,604
modeling,emft,gmt,1,1,604
technology,rtsc,platform,1,0,1229
ecd,orion,e4,216,0,9557
ecd,orion,community,3,0,9557
ecd,orion,platform,2,0,9557
ecd,orion,babel,1,0,9557
ecd,orion,actf,1,0,9557
tools,pdt,platform,79,0,5440
tools,pdt,epp,10,0,5440
tools,pdt,webtools,10,0,5440
tools,pdt,actf,10,0,5440
tools,pdt,pde,9,0,5440
tools,pdt,community,5,0,5440
tools,pdt,mylyn,4,0,5440
tools,pdt,jdt,4,0,5440
tools,pdt,ajdt,2,1,5440
tools,pdt,dltk,2,1,5440
tools,pdt,pdt,2,1,5440
tools,pdt,hyades,1,1,5440
tools,pdt,subversive,1,1,5440
tools,pdt,babel,1,1,5440
tools,pdt,wtpsourceediting,1,1,5440
tools,pdt,e4,1,1,5440
tools,pdt,recommenders.incubator,1,1,5440
tools,pdt,emf,1,1,5440
technology,nebula,platform,12,0,1118
technology,nebula,pde,3,0,1118
technology,nebula,nattable,2,1,1118
technology,nebula,jdt,1,1,1118
technology,nebula,ve,1,1,1118
tools,ldt,koneki,6,0,381
technology,ease,e4,15,0,454
technology,ease,pde,2,0,454
modeling,emfcompare,emf,9,1,1095
modeling,emfcompare,papyrus,3,1,1095
modeling,emfcompare,recommenders.incubator,3,1,1095
modeling,emfcompare,egit,2,1,1095
modeling,emfcompare,emft,2,1,1095
modeling,emfcompare,platform,1,1,1095
technology,tigerstripe,tml,1,0,1147
technology,tigerstripe,tigerstripe,1,1,1147
modeling,emfstore,emft.emfclient,1,0,528
modeling,emfstore,ecp,1,1,528
modeling,emfstore,emfstore,1,1,528
modeling,emfstore,emf,1,1,528
rt,riena,actf,2,0,998
rt,riena,rap,1,1,998
rt,riena,jdt,1,1,998
modeling,qvto,actf,2,0,967
modeling,qvto,mdt,1,1,967
modeling,qvto,m2t,1,1,967
science,ice,4diac,1,0,327
tools,windowbuilder,pde,16,0,501
tools,windowbuilder,jdt,16,0,501
tools,windowbuilder,platform,12,0,501
tools,windowbuilder,recommenders.incubator,6,0,501
tools,windowbuilder,actf,3,0,501
tools,windowbuilder,epp,1,0,501
tools,windowbuilder,oomph,1,1,501
tools,windowbuilder,equinox,1,1,501
tools,windowbuilder,webtools,1,1,501
tools,windowbuilder,community,1,1,501
tools,windowbuilder,tools,1,1,501
tools,windowbuilder,e4,1,1,501
modeling,qvtd,ocl,4,1,262
modeling,qvtd,recommenders.incubator,2,1,262
modeling,tmf,recommenders.incubator,15,0,5272
modeling,tmf,xtend,11,0,5272
modeling,tmf,tmf,8,1,5272
modeling,tmf,emf,5,1,5272
modeling,tmf,gmt,3,1,5272
