domain,project,os,priority,hardware,version,component,severity,assignee,product,status,total
modeling,graphiti,241,119,268,195,27,56,206,25,376,598
iot,californium,3,0,3,0,0,4,20,0,5,66
tools,tmw,0,0,0,0,0,0,0,0,0,0
technology,m2e,64,12,51,143,91,89,333,83,102,1604
foundation,simultaneousrelease,0,0,0,0,0,0,0,0,0,0
rt,vertx,1,0,1,34,1,36,48,0,17,394
modeling,mdt.modisco,20,535,19,159,76,113,728,18,46,984
technology,actf,4,5,2,8,77,23,106,2,34,1013
modeling,acceleo,4,76,4,37,18,51,23,11,40,898
mylyn,mylyndocsintent,0,0,0,0,0,0,0,0,0,0
mylyn,mylynincubator,0,0,0,0,0,0,0,0,0,0
foundation,community,0,0,0,0,0,0,0,0,0,0
iot,vorto,2,2,1,6,36,13,41,1,29,157
mylyn,mylyncommons,0,0,0,0,0,0,0,0,0,0
modeling,sphinx,61,32,61,71,21,36,261,1,64,463
technology,rtsc,130,211,119,6,49,53,657,1,559,1229
ecd,orion,178,327,94,517,1567,543,6864,1287,466,9557
tools,pdt,182,840,83,615,602,473,1423,173,747,5440
webtools,wtpincubator,0,0,0,0,0,0,0,0,0,0
technology,nebula,32,77,16,44,39,46,277,23,53,1118
foundation,drupal,0,0,0,0,0,0,0,0,0,0
technology,ease,60,3,57,60,59,25,29,50,22,454
technology,tigerstripe,1,23,0,6,14,103,218,2,147,1147
modeling,emfstore,46,68,8,15,18,17,212,7,10,528
rt,riena,40,97,32,17,69,51,374,6,70,998
technology,flux,2,2,2,0,1,2,32,0,0,61
science,texlipse,0,0,0,0,0,0,0,0,0,0
rt,yasson,0,0,0,0,0,0,0,0,0,0
modeling,pmf,0,0,0,0,9,0,11,0,0,31
webtools,dalijpatools,0,0,0,0,0,0,0,0,0,0
iot,risev2g,0,0,0,0,0,0,0,0,0,1
technology,technologytoplevel,0,0,0,0,0,0,0,0,0,0
tools,andmore,0,1,0,11,10,0,41,9,19,114
modeling,franca,0,0,0,0,0,0,0,0,0,0
soa,jwt,23,38,6,184,38,15,77,1,31,408
tools,mat,18,1,18,16,8,11,205,4,23,461
modeling,papyrus,1176,271,1197,1471,804,843,3622,40,1894,9634
modeling,mdt.xsd,1,17,0,45,46,46,38,45,259,404
rt,eclipselink,172,1761,167,631,203,647,3995,16,531,7952
technology,xwt,4,1,0,142,297,3,82,297,9,352
modeling,viatra,11,18,8,213,43,42,556,28,127,1037
tools,tracecompass.incubator,0,0,0,0,0,0,0,0,0,0
modeling,emft.henshin,0,0,0,0,4,3,19,0,1,90
modeling,eatop,1,0,1,0,1,0,11,0,5,34
webtools,wtpwebservices,0,0,0,0,0,0,0,0,0,0
rt,smila,14,23,11,17,8,45,110,0,18,216
modeling,emft.doc2model,0,0,0,0,0,0,0,0,0,1
modeling,efm,0,0,0,0,1,1,1,0,0,23
webtools,javaeeconfig,0,0,0,0,0,0,0,0,0,0
webtools,wtpservertools,0,0,0,0,0,0,0,0,0,0
technology,subversive,13,38,8,132,140,88,279,118,112,2591
rt,gemini,1,0,0,0,0,0,0,0,0,5
webtools,wtpsourceediting,0,0,0,0,0,0,0,0,0,0
technology,rcptt,7,8,0,8,5,10,51,2,21,254
modeling,mdt,0,30,0,7,12,21,42,5,48,114
soa,soaplatform,0,0,0,0,0,0,0,0,0,0
rt,ebr,0,0,0,0,0,0,2,0,1,6
technology,vtp,6,30,6,2,4,8,74,0,30,259
rt,gyrex,25,3,25,14,3,19,109,0,3,157
modeling,amp,8,18,8,17,2,14,20,0,6,171
modeling,papyrusrt,0,0,0,0,0,0,0,0,0,0
webtools,wtpcommontools,0,0,0,0,0,0,0,0,0,0
modeling,eef,13,4,14,166,258,22,41,258,10,330
modeling,capra,5,0,1,0,7,1,16,0,7,46
tools,titan,0,1,0,4,2,3,69,1,31,183
technology,sapphire,181,7,185,156,75,115,989,1,219,1189
tools,gef,120,208,87,135,280,241,1248,90,349,2950
tools,oomph,10,10,12,627,218,177,1019,156,142,1438
rt,ecf,78,36,81,160,97,162,650,40,109,1944
technology,scanning,0,0,0,0,0,0,0,0,0,0
technology,nebula.incubator,0,0,0,0,0,0,1,0,1,1
foundation,z_archived,0,0,0,0,0,0,0,0,0,0
rt,gemini.dbaccess,0,0,0,1,0,0,3,0,1,19
science,dawnsci,0,0,0,0,0,0,0,0,0,1
ecd,che,0,0,0,0,1,0,0,0,2,22
iot,kapua,0,0,0,0,0,0,1,0,0,1
iot,unide,0,0,0,0,0,0,0,0,0,0
soa,ebpm,0,0,0,0,0,0,0,0,0,2
tools,linuxtools,0,0,0,0,0,0,0,0,0,0
eclipse,jdt,2542,6192,2080,1981,12375,5164,35685,3610,21574,54535
technology,handly,6,5,7,8,4,12,139,0,18,142
technology,recommenders.incubator,3,2,4,42,6,11,42,5,5,225
mylyn,mylyn,169,3271,67,258,711,1915,4505,142,825,8422
mylyn,mylyndocs,0,0,0,0,0,0,0,0,0,0
iot,wakaama,0,0,0,0,0,0,0,0,0,10
modeling,elk,0,0,0,0,0,0,0,0,0,3
soa,bpel,5,16,2,66,11,14,139,7,15,376
technology,egerrit,2,1,1,2,2,58,176,1,78,394
iot,iofog,0,0,0,0,0,0,0,0,0,0
modeling,gmftooling,0,0,0,0,0,0,0,0,0,0
technology,jnosql,0,0,0,0,0,0,0,0,0,0
datatools,datatools,0,0,0,0,0,0,0,0,0,0
rt,equinox,275,285,145,1342,2852,936,7172,2001,1465,13046
tools,thym,4,0,4,5,2,21,47,2,9,130
tools,mtj,65,76,107,142,147,63,371,11,173,744
mylyn,mylyncontextmft,0,0,0,0,0,0,0,0,0,0
modeling,edapt,2,47,1,5,15,12,45,4,15,125
iot,hawkbit,0,0,0,0,0,0,0,0,0,0
modeling,fmc,0,0,0,0,0,0,0,0,0,9
modeling,amalgam,0,0,0,5,11,7,33,10,12,124
iot,ponte,0,0,0,0,0,0,0,0,0,4
iot,tinydtls,0,1,0,0,0,0,1,0,5,7
tools,ajdt,14,79,4,174,99,100,580,96,67,1465
mylyn,mylyncontext,0,0,0,0,0,0,0,0,0,0
technology,ogee,0,0,0,6,1,3,4,1,4,33
tools,buildship,24,3,20,117,6,44,79,6,79,390
iot,kura,0,0,0,0,0,2,3,0,4,46
modeling,mmt.atl,3,0,0,3,5,8,10,2,20,271
modeling,sirius,179,85,162,85,50,178,796,24,1037,1595
technology,packagedrone,0,0,0,0,0,0,0,0,0,0
technology,hudson,84,17,13,54,84,81,290,39,302,1423
mylyn,mylynbuilds,0,0,0,0,0,0,0,0,0,0
science,chemclipse,1,0,1,0,0,0,0,0,2,22
technology,camf,0,0,0,0,1,1,2,0,0,12
modeling,gmfnotation,0,0,0,0,0,0,0,0,0,0
tools,xtend,48,3,42,173,227,315,264,141,816,2297
technology,stem,47,35,47,1,38,24,367,3,88,437
tools,targetmanagement,0,0,0,0,0,0,0,0,0,0
technology,woolsey,0,2,0,0,2,1,2,2,0,50
tools,tcf,34,24,23,101,221,65,316,182,63,1144
modeling,emft.facet,69,632,67,130,12,116,605,7,42,828
webtools,wtpreleng,0,0,0,0,0,0,0,0,0,0
iot,paho,6,0,6,3,10,3,63,0,17,143
technology,sw360,0,0,0,0,0,0,0,0,0,0
webtools,wtpejbtools,0,0,0,0,0,0,0,0,0,0
modeling,etrice,0,3,0,18,5,64,114,0,4,541
mylyn,mylyndocsvex,0,0,0,0,0,0,0,0,0,0
iot,mihini,0,58,0,0,0,18,47,0,11,121
technology,collections,0,0,0,0,0,0,0,0,0,0
technology,cbi,20,25,14,67,326,54,283,300,48,613
ecd,cft,0,0,0,0,1,1,40,1,3,131
modeling,gmp,8,36,0,13,30,16,143,9,28,245
iot,om2m,0,0,1,2,1,1,21,0,12,44
