domain,project,field,1,2,3,4,total
modeling,graphiti,os,240,1,0,0,598
modeling,graphiti,priority,89,22,7,1,598
modeling,graphiti,hardware,268,0,0,0,598
modeling,graphiti,version,193,1,1,0,598
modeling,graphiti,component,26,0,1,0,598
modeling,graphiti,severity,55,1,0,0,598
modeling,graphiti,assignee,198,6,1,1,598
modeling,graphiti,product,24,0,1,0,598
modeling,graphiti,status,0,0,0,0,598
iot,californium,os,3,0,0,0,66
iot,californium,priority,0,0,0,0,66
iot,californium,hardware,3,0,0,0,66
iot,californium,version,0,0,0,0,66
iot,californium,component,0,0,0,0,66
iot,californium,severity,4,0,0,0,66
iot,californium,assignee,20,0,0,0,66
iot,californium,product,0,0,0,0,66
iot,californium,status,0,0,0,0,66
tools,tmw,os,0,0,0,0,0
tools,tmw,priority,0,0,0,0,0
tools,tmw,hardware,0,0,0,0,0
tools,tmw,version,0,0,0,0,0
tools,tmw,component,0,0,0,0,0
tools,tmw,severity,0,0,0,0,0
tools,tmw,assignee,0,0,0,0,0
tools,tmw,product,0,0,0,0,0
tools,tmw,status,0,0,0,0,0
technology,m2e,os,62,2,0,0,1604
technology,m2e,priority,12,0,0,0,1604
technology,m2e,hardware,51,0,0,0,1604
technology,m2e,version,136,7,0,0,1604
technology,m2e,component,81,8,2,0,1604
technology,m2e,severity,85,4,0,0,1604
technology,m2e,assignee,304,25,3,1,1604
technology,m2e,product,77,6,0,0,1604
technology,m2e,status,0,0,0,0,1604
foundation,simultaneousrelease,os,0,0,0,0,0
foundation,simultaneousrelease,priority,0,0,0,0,0
foundation,simultaneousrelease,hardware,0,0,0,0,0
foundation,simultaneousrelease,version,0,0,0,0,0
foundation,simultaneousrelease,component,0,0,0,0,0
foundation,simultaneousrelease,severity,0,0,0,0,0
foundation,simultaneousrelease,assignee,0,0,0,0,0
foundation,simultaneousrelease,product,0,0,0,0,0
foundation,simultaneousrelease,status,0,0,0,0,0
rt,vertx,os,1,0,0,0,394
rt,vertx,priority,0,0,0,0,394
rt,vertx,hardware,1,0,0,0,394
rt,vertx,version,31,3,0,0,394
rt,vertx,component,1,0,0,0,394
rt,vertx,severity,33,2,1,0,394
rt,vertx,assignee,47,1,0,0,394
rt,vertx,product,0,0,0,0,394
rt,vertx,status,0,0,0,0,394
modeling,mdt.modisco,os,20,0,0,0,984
modeling,mdt.modisco,priority,381,124,21,9,984
modeling,mdt.modisco,hardware,19,0,0,0,984
modeling,mdt.modisco,version,146,13,0,0,984
modeling,mdt.modisco,component,73,2,1,0,984
modeling,mdt.modisco,severity,110,3,0,0,984
modeling,mdt.modisco,assignee,682,27,17,2,984
modeling,mdt.modisco,product,18,0,0,0,984
modeling,mdt.modisco,status,0,0,0,0,984
technology,actf,os,4,0,0,0,1013
technology,actf,priority,5,0,0,0,1013
technology,actf,hardware,2,0,0,0,1013
technology,actf,version,7,1,0,0,1013
technology,actf,component,73,4,0,0,1013
technology,actf,severity,22,1,0,0,1013
technology,actf,assignee,98,6,2,0,1013
technology,actf,product,1,1,0,0,1013
technology,actf,status,0,0,0,0,1013
modeling,acceleo,os,4,0,0,0,898
modeling,acceleo,priority,68,8,0,0,898
modeling,acceleo,hardware,4,0,0,0,898
modeling,acceleo,version,37,0,0,0,898
modeling,acceleo,component,17,1,0,0,898
modeling,acceleo,severity,48,3,0,0,898
modeling,acceleo,assignee,21,2,0,0,898
modeling,acceleo,product,10,1,0,0,898
modeling,acceleo,status,0,0,0,0,898
mylyn,mylyndocsintent,os,0,0,0,0,0
mylyn,mylyndocsintent,priority,0,0,0,0,0
mylyn,mylyndocsintent,hardware,0,0,0,0,0
mylyn,mylyndocsintent,version,0,0,0,0,0
mylyn,mylyndocsintent,component,0,0,0,0,0
mylyn,mylyndocsintent,severity,0,0,0,0,0
mylyn,mylyndocsintent,assignee,0,0,0,0,0
mylyn,mylyndocsintent,product,0,0,0,0,0
mylyn,mylyndocsintent,status,0,0,0,0,0
mylyn,mylynincubator,os,0,0,0,0,0
mylyn,mylynincubator,priority,0,0,0,0,0
mylyn,mylynincubator,hardware,0,0,0,0,0
mylyn,mylynincubator,version,0,0,0,0,0
mylyn,mylynincubator,component,0,0,0,0,0
mylyn,mylynincubator,severity,0,0,0,0,0
mylyn,mylynincubator,assignee,0,0,0,0,0
mylyn,mylynincubator,product,0,0,0,0,0
mylyn,mylynincubator,status,0,0,0,0,0
foundation,community,os,0,0,0,0,0
foundation,community,priority,0,0,0,0,0
foundation,community,hardware,0,0,0,0,0
foundation,community,version,0,0,0,0,0
foundation,community,component,0,0,0,0,0
foundation,community,severity,0,0,0,0,0
foundation,community,assignee,0,0,0,0,0
foundation,community,product,0,0,0,0,0
foundation,community,status,0,0,0,0,0
iot,vorto,os,2,0,0,0,157
iot,vorto,priority,2,0,0,0,157
iot,vorto,hardware,1,0,0,0,157
iot,vorto,version,5,1,0,0,157
iot,vorto,component,36,0,0,0,157
iot,vorto,severity,12,1,0,0,157
iot,vorto,assignee,38,1,2,0,157
iot,vorto,product,1,0,0,0,157
iot,vorto,status,0,0,0,0,157
mylyn,mylyncommons,os,0,0,0,0,0
mylyn,mylyncommons,priority,0,0,0,0,0
mylyn,mylyncommons,hardware,0,0,0,0,0
mylyn,mylyncommons,version,0,0,0,0,0
mylyn,mylyncommons,component,0,0,0,0,0
mylyn,mylyncommons,severity,0,0,0,0,0
mylyn,mylyncommons,assignee,0,0,0,0,0
mylyn,mylyncommons,product,0,0,0,0,0
mylyn,mylyncommons,status,0,0,0,0,0
modeling,sphinx,os,60,1,0,0,463
modeling,sphinx,priority,32,0,0,0,463
modeling,sphinx,hardware,60,1,0,0,463
modeling,sphinx,version,69,2,0,0,463
modeling,sphinx,component,20,1,0,0,463
modeling,sphinx,severity,36,0,0,0,463
modeling,sphinx,assignee,249,12,0,0,463
modeling,sphinx,product,1,0,0,0,463
modeling,sphinx,status,0,0,0,0,463
technology,rtsc,os,130,0,0,0,1229
technology,rtsc,priority,184,16,8,3,1229
technology,rtsc,hardware,119,0,0,0,1229
technology,rtsc,version,6,0,0,0,1229
technology,rtsc,component,49,0,0,0,1229
technology,rtsc,severity,53,0,0,0,1229
technology,rtsc,assignee,511,120,23,3,1229
technology,rtsc,product,1,0,0,0,1229
technology,rtsc,status,0,0,0,0,1229
ecd,orion,os,176,2,0,0,9557
ecd,orion,priority,294,27,6,0,9557
ecd,orion,hardware,94,0,0,0,9557
ecd,orion,version,504,11,2,0,9557
ecd,orion,component,1512,52,3,0,9557
ecd,orion,severity,511,30,2,0,9557
ecd,orion,assignee,5850,710,220,84,9557
ecd,orion,product,1283,3,1,0,9557
ecd,orion,status,0,0,0,0,9557
tools,pdt,os,177,5,0,0,5440
tools,pdt,priority,763,71,2,4,5440
tools,pdt,hardware,83,0,0,0,5440
tools,pdt,version,554,54,6,1,5440
tools,pdt,component,526,70,4,2,5440
tools,pdt,severity,427,37,8,1,5440
tools,pdt,assignee,1190,174,32,27,5440
tools,pdt,product,158,11,3,1,5440
tools,pdt,status,0,0,0,0,5440
webtools,wtpincubator,os,0,0,0,0,0
webtools,wtpincubator,priority,0,0,0,0,0
webtools,wtpincubator,hardware,0,0,0,0,0
webtools,wtpincubator,version,0,0,0,0,0
webtools,wtpincubator,component,0,0,0,0,0
webtools,wtpincubator,severity,0,0,0,0,0
webtools,wtpincubator,assignee,0,0,0,0,0
webtools,wtpincubator,product,0,0,0,0,0
webtools,wtpincubator,status,0,0,0,0,0
technology,nebula,os,32,0,0,0,1118
technology,nebula,priority,72,5,0,0,1118
technology,nebula,hardware,16,0,0,0,1118
technology,nebula,version,33,9,2,0,1118
technology,nebula,component,33,5,1,0,1118
technology,nebula,severity,43,1,1,1,1118
technology,nebula,assignee,248,28,1,0,1118
