modeling-graphiti
Total,598
refieldnum, count
1,25
2,143
3,134
4,296

iot-californium
Total,66
refieldnum, count
2,25
3,22
4,2

tools-tmw
Total,0

technology-m2e
Total,1604
refieldnum, count
1,7
2,1004
3,321
4,161

foundation-simultaneousrelease
Total,0

rt-vertx
Total,394
refieldnum, count
1,6
2,254
3,74
4,16

modeling-mdt.modisco
Total,984
refieldnum, count
1,108
2,80
3,297
4,464

technology-actf
Total,1013
refieldnum, count
2,848
3,93
4,58

modeling-acceleo
Total,898
refieldnum, count
1,11
2,696
3,96
4,46

mylyn-mylyndocsintent
Total,0

mylyn-mylynincubator
Total,0

foundation-community
Total,0

iot-vorto
Total,157
refieldnum, count
2,78
3,57
4,21

mylyn-mylyncommons
Total,0

modeling-sphinx
Total,463
refieldnum, count
1,25
2,126
3,146
4,131

technology-rtsc
Total,1229
refieldnum, count
1,94
2,461
3,424
4,206

ecd-orion
Total,9557
refieldnum, count
1,39
2,2096
3,5108
4,2244

tools-pdt
Total,5440
refieldnum, count
1,117
2,2542
3,1365
4,1045

webtools-wtpincubator
Total,0

technology-nebula
Total,1118
refieldnum, count
1,72
2,483
3,209
4,85

foundation-drupal
Total,0

technology-ease
Total,454
refieldnum, count
1,12
2,226
3,43
4,100

technology-tigerstripe
Total,1147
refieldnum, count
1,12
2,828
3,224
4,59

modeling-emfstore
Total,528
refieldnum, count
1,11
2,251
3,158
4,80

rt-riena
Total,998
refieldnum, count
1,29
2,418
3,352
4,106

technology-flux
Total,61
refieldnum, count
1,4
2,7
3,24
4,2

science-texlipse
Total,0

rt-yasson
Total,0

modeling-pmf
Total,31
refieldnum, count
1,2
2,7
4,3

webtools-dalijpatools
Total,0

iot-risev2g
Total,1

technology-technologytoplevel
Total,0

tools-andmore
Total,114
refieldnum, count
1,14
2,34
3,21
4,11

modeling-franca
Total,0

soa-jwt
Total,408
refieldnum, count
1,33
2,153
3,110
4,92

tools-mat
Total,461
refieldnum, count
1,11
2,203
3,173
4,32

modeling-papyrus
Total,9634
refieldnum, count
1,514
2,3551
3,2502
4,2023

modeling-mdt.xsd
Total,404
refieldnum, count
1,8
2,285
3,49
4,53

rt-eclipselink
Total,7952
refieldnum, count
1,722
2,1797
3,3030
4,1366

technology-xwt
Total,352
refieldnum, count
1,2
2,57
3,36
4,243

modeling-viatra
Total,1037
refieldnum, count
1,54
2,331
3,449
4,165

tools-tracecompass.incubator
Total,0

modeling-emft.henshin
Total,90
refieldnum, count
2,42
3,17
4,3

modeling-eatop
Total,34
refieldnum, count
1,2
2,9
3,10

webtools-wtpwebservices
Total,0

rt-smila
Total,216
refieldnum, count
1,1
2,78
3,85
4,48

modeling-emft.doc2model
Total,1
refieldnum, count
2,1

modeling-efm
Total,23
refieldnum, count
2,7
3,3

webtools-javaeeconfig
Total,0

webtools-wtpservertools
Total,0

technology-subversive
Total,2591
refieldnum, count
1,9
2,2048
3,255
4,158

rt-gemini
Total,5
refieldnum, count
1,1

webtools-wtpsourceediting
Total,0

technology-rcptt
Total,254
refieldnum, count
1,13
2,70
3,46
4,13

modeling-mdt
Total,114
refieldnum, count
1,1
2,39
3,31
4,31

soa-soaplatform
Total,0

rt-ebr
Total,6
refieldnum, count
1,1
2,1
3,2

technology-vtp
Total,259
refieldnum, count
1,6
2,114
3,86
4,12

rt-gyrex
Total,157
refieldnum, count
1,16
2,20
3,73
4,37

modeling-amp
Total,171
refieldnum, count
1,19
2,84
3,31
4,8

modeling-papyrusrt
Total,0

webtools-wtpcommontools
Total,0

modeling-eef
Total,330
refieldnum, count
1,1
2,31
3,15
4,262

modeling-capra
Total,46
refieldnum, count
1,4
2,12
3,6
4,4

tools-titan
Total,183
refieldnum, count
1,2
2,96
3,67
4,4

technology-sapphire
Total,1189
refieldnum, count
1,25
2,149
3,645
4,328

tools-gef
Total,2950
refieldnum, count
1,96
2,1172
3,990
4,462

tools-oomph
Total,1438
refieldnum, count
1,87
2,190
3,668
4,475

rt-ecf
Total,1944
refieldnum, count
1,33
2,980
3,600
4,234

technology-scanning
Total,0

technology-nebula.incubator
Total,1
refieldnum, count
3,1

foundation-z_archived
Total,0

rt-gemini.dbaccess
Total,19
refieldnum, count
2,11
3,4

science-dawnsci
Total,1

ecd-che
Total,22
refieldnum, count
1,1
2,12
3,1

iot-kapua
Total,1
refieldnum, count
3,1

iot-unide
Total,0

soa-ebpm
Total,2

tools-linuxtools
Total,0

eclipse-jdt
Total,54535
refieldnum, count
1,1491
2,14460
3,18878
4,18100

technology-handly
Total,142
refieldnum, count
2,1
3,119
4,20

technology-recommenders.incubator
Total,225
refieldnum, count
1,7
2,108
3,68
4,13

mylyn-mylyn
Total,8422
refieldnum, count
1,112
2,2676
3,2861
4,2720

mylyn-mylyndocs
Total,0

iot-wakaama
Total,10
refieldnum, count
2,3

modeling-elk
Total,3
refieldnum, count
2,2

soa-bpel
Total,376
refieldnum, count
1,9
2,198
3,81
4,54

technology-egerrit
Total,394
refieldnum, count
1,22
2,113
3,178
4,17

iot-iofog
Total,0

modeling-gmftooling
Total,0

technology-jnosql
Total,0

datatools-datatools
Total,0

rt-equinox
Total,13046
refieldnum, count
1,421
2,4280
3,4205
4,3046

tools-thym
Total,130
refieldnum, count
1,14
2,34
3,42
4,9

tools-mtj
Total,744
refieldnum, count
1,8
2,203
3,283
4,225

mylyn-mylyncontextmft
Total,0

modeling-edapt
Total,125
refieldnum, count
1,14
2,46
3,33
4,27

iot-hawkbit
Total,0

modeling-fmc
Total,9
refieldnum, count
2,1

