modeling-graphiti
Total,598
field,avg,min,max
status,259,0,1923
priority,187,0,1827
os,52,0,413
version,40,0,246
hardware,64,0,413
resolution,196,0,1923
component,12,0,49
severity,93,0,484
assignee,140,0,1102
product,12,0,49

iot-californium
Total,66
field,avg,min,max
status,78,0,435
resolution,67,0,435
os,1,0,2
severity,45,0,135
assignee,17,0,82
hardware,1,0,2

tools-tmw
Total,0

technology-m2e
Total,1604
field,avg,min,max
status,496,0,2052
os,236,0,1091
priority,80,0,324
version,240,0,1180
hardware,275,0,1091
resolution,495,0,2052
component,128,0,594
severity,160,0,1516
assignee,151,0,1249
product,100,0,594

foundation-simultaneousrelease
Total,0

rt-vertx
Total,394
field,avg,min,max
status,131,0,581
os,0,0,0
version,65,0,440
hardware,0,0,0
resolution,131,0,581
component,0,0,0
severity,15,0,99
assignee,60,0,276

modeling-mdt.modisco
Total,984
field,avg,min,max
status,270,0,1989
priority,341,0,1847
os,45,0,369
version,217,0,1318
hardware,45,0,369
resolution,262,0,1974
component,228,0,850
severity,372,0,2188
assignee,310,0,2246
product,463,0,850

technology-actf
Total,1013
field,avg,min,max
status,343,0,2935
os,13,0,31
priority,38,0,68
version,418,0,2200
hardware,16,0,31
resolution,290,0,2935
component,1803,0,2529
severity,50,0,229
assignee,517,0,2419
product,10,2,17

modeling-acceleo
Total,898
field,avg,min,max
status,721,0,2667
priority,296,0,1064
os,186,0,557
version,246,0,970
hardware,186,0,557
resolution,608,0,2667
component,311,0,1743
severity,165,0,938
assignee,216,0,1743
product,300,0,1743

mylyn-mylyndocsintent
Total,0

mylyn-mylynincubator
Total,0

foundation-community
Total,0

iot-vorto
Total,157
field,avg,min,max
status,95,0,258
os,3,0,6
priority,0,0,0
version,33,1,118
hardware,6,6,6
resolution,104,0,258
component,120,1,233
severity,54,13,139
assignee,61,0,233
product,100,100,100

mylyn-mylyncommons
Total,0

modeling-sphinx
Total,463
field,avg,min,max
status,99,0,1003
os,60,0,300
priority,48,0,205
hardware,59,0,300
version,57,0,400
resolution,90,0,1003
component,165,0,587
severity,30,0,138
assignee,68,0,546
product,0,0,0

technology-rtsc
Total,1229
field,avg,min,max
status,550,0,2353
priority,175,0,1705
os,143,0,785
version,4,0,7
hardware,130,0,522
